"","Gender","Age","Ethnicity","Race","SubID"
"1","M",23,"NHL","A","1165ff9"
"2","M",31,"NHL","NA","1c8fb86"
"3","M",34,"NHL","W","144e2e5"
"4","NA",30,"NHL","W","13c88ec"
"5","M",35,"NHL","W","1f7ae64"
"6","F",27,"HL","W","1b5a5a2"
"7","F",29,"NHL","W","1c56a4e"
"8","M",25,"NHL","W","133fe68"
"9","F",29,"NHL","AA","1ad6b08"
"10","F",30,"NHL","AA","146f49f"
"11","F",34,"NHL","M","170e50f"
"12","F",34,"NHL","W","osorhow"
