1,1,2.2,1
1,1,2.5,1
1,2,5,1
1,2,0.3,1
1,3,3.1,1
1,4,1.9,1
2,1,2,1
2,1,2.7,1
2,1,1.5,1
2,1,6.8,1
2,2,5.6,1
2,2,3,1
2,2,3.9,1
2,2,4.3,1
2,3,2.3,1
2,4,4.8,1
3,1,6,1
3,1,3.2,1
3,2,2.9,1
3,2,4.7,1
3,3,0.2,1
3,4,0.6,1
4,1,1.7,1
4,2,0.9,1
4,3,2.8,1
4,4,3.7,1
1,1,3.8,0
1,2,5.4,0
1,3,5.2,0
1,4,6.4,0
2,1,2.4,0
2,2,3.3,0
2,3,6.6,0
2,3,3.4,0
2,4,2.6,0
2,4,0.1,0
3,1,5.9,0
3,2,6.3,0
3,3,4.4,0
3,3,0.8,0
3,3,6.1,0
3,3,1.4,0
3,4,5.1,0
3,4,1,0
3,4,3.6,0
3,4,6.7,0
4,1,5.5,0
4,2,1.3,0
4,3,4.1,0
4,3,0.7,0
4,4,4,0
4,4,3.5,0
