"","Gender","Age","Ethnicity","Race","SubID"
"1","M",20,"HL","NA","1464f8d"
"2","M",27,"NHL","W","19213d8"
"3","F",29,"HL","W","1dc67ae"
"4","M",27,"NHL","W","1a2832d"
"5","F",23,"NHL","W","14abaf1"
"6","M",31,"NA","NA","13c7ad0"
"7","M",24,"NHL","A","1a09319"
"8","F",31,"NHL","W","1bf78ff"
"9","M",30,"NHL","W","126ea43"
"10","F",33,"NHL","W","1ac3cc3"
"11","M",27,"NHL","O","19151a7"
"12","M",22,"NHL","AA","1637291"
"13","F",30,"NHL","W","15424ba"
"14","F",33,"NHL","W","1bd335b"
"15","M",26,"NHL","W","1e696cf"
"16","M",35,"NHL","W","a9737e4"
"17","F",30,"NHL","W","1b0caa0"
"18","M",32,"NHL","AA","1f94662"
"19","F",18,"NHL","M","1e3deae"
"20","M",29,"NA","NA","122cd46"
"21","F",31,"NHL","W","19cc46e"
"22","M",26,"NHL","W","1ec447e"
"23","M",34,"NHL","W","157bedd"
"24","M",21,"NHL","W","c00f083"
"25","F",24,"NHL","M","11f46c2"
"26","M",30,"NHL","W","180a1f6"
"27","M",30,"NHL","A","551e044"
"28","M",33,"NHL","W","1cde123"
"29","F",26,"NHL","W","3dab45e"
"30","M",32,"NHL","W","16fa6e0"
"31","M",NA,"NA","NA","113e3c8"
"32","M",19,"NHL","A","120b673"
"33","M",24,"NHL","W","11763c2"
"34","M",33,"HL","W","125cce5"
"35","NA",33,"NHL","W","1aafff7"
"36","M",24,"NHL","W","1125a0b"
"37","M",19,"NHL","A","11b4da8"
"38","F",30,"NHL","W","1abff4f"
"39","M",20,"NHL","W","10b7010"
"40","M",21,"HL","M","1d27a03"
"41","M",34,"NHL","W","9939cc6"
"42","M",26,"NHL","W","1665e78"
"43","F",19,"NHL","W","11b60ef"
"44","F",25,"NHL","A","1ce2aee"
"45","F",23,"HL","NA","1a0f4f8"
"46","F",23,"NHL","A","14163b1"
