"","Gender","Age","Ethnicity","Race","SubID"
"1","F",27,"HL","W","1775634"
"2","F",25,"NHL","W","1566cef"
"3","M",28,"NHL","A","14c5dbb"
"4","F",22,"NHL","A","16f8599"
"5","M",28,"NHL","W","1fdd1c0"
"6","M",34,"NHL","W","aada38f"
"7","M",25,"NHL","W","11c388d"
"8","F",29,"NHL","W","13eb09d"
"9","F",28,"NHL","W","1d8466a"
"10","NA",33,"NHL","W","13ae891"
"11","M",24,"NHL","W","1615652"
"12","F",23,"NHL","W","1481c53"
"13","M",20,"HL","M","1f8dc42"
"14","F",28,"NHL","AA","15fe165"
"15","F",24,"NHL","W","113290a"
"16","M",31,"NHL","W","1582354"
"17","F",25,"NHL","W","1e4e351"
"18","M",29,"NHL","W","1e1ba26"
"19","M",25,"NHL","W","1ba9d36"
"20","M",20,"NHL","AA","131a531"
"21","M",28,"NHL","W","136d40c"
"22","F",30,"NHL","W","dd48297"
"23","M",30,"NHL","W","2b7389d"
"24","M",NA,"NA","NA","feb6435"
"25","F",19,"NHL","W","12c2c85"
"26","F",29,"NHL","W","12d5120"
"27","F",19,"NHL","W","10649da"
"28","M",23,"NHL","W","6682a5e"
"29","F",23,"NA","NA","1eda8f9"
