"","Gender","Age","Ethnicity","Race","SubID"
"1","F",27,"NHL","W","1fff5f7"
"2","F",22,"NHL","W","157c196"
"3","M",27,"NHL","W","c8b40ae"
"4","F",26,"NHL","W","1534efb"
"5","F",33,"NHL","W","156f638"
"6","F",NA,"NHL","W","1744d37"
"7","M",31,"NHL","W","fdaa615"
"8","M",29,"NHL","W","519c6d7"
"9","M",27,"NHL","W","121161c"
"10","M",27,"NHL","W","1edad2e"
"11","F",24,"NA","NA","1ff6694"
"12","F",25,"NHL","W","127583e"
"13","F",32,"NHL","W","1401c6b"
"14","M",21,"NHL","A","126edb8"
"15","F",32,"NHL","W","1838a2f"
"16","M",24,"NHL","AA","ca3c2f7"
"17","M",30,"NHL","W","183caf5"
"18","F",23,"NHL","NA","122c84a"
"19","M",26,"NHL","W","1464043"
"20","F",28,"NHL","M","16e67ef"
"21","M",25,"HL","W","1ca989b"
"22","F",32,"NHL","W","1d01769"
"23","F",27,"NHL","W","9939cc0"
"24","F",35,"NHL","W","1140cdd"
"25","M",29,"NHL","W","164d446"
"26","M",26,"HL","W","1534b38"
"27","NA",29,"NA","NA","1a80576"
"28","F",31,"HL","W","13cc5b7"
"29","F",32,"NHL","W","1838a2f"
"30","M",32,"NHL","A","17b1040"
"31","M",23,"NHL","W","18ad75c"
