"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",0,1,500,5,1,1,"1f931a2",1,1
"3",1,1,389,5,5,1,"1f931a2",2,1
"4",1,1,1227,1,1,1,"1f931a2",3,1
"5",0,0,1653,3,3,1,"1f931a2",4,1
"6",1,0,500,1,3,1,"1f931a2",5,1
"7",0,1,322,1,2,1,"1f931a2",6,1
"8",1,1,156,4,4,1,"1f931a2",7,1
"9",1,1,360,2,2,1,"1f931a2",8,1
"10",0,0,255,6,6,1,"1f931a2",9,1
"11",1,0,313,6,1,1,"1f931a2",10,1
"12",0,1,285,1,4,1,"1f931a2",11,1
"13",1,0,28,1,5,1,"1f931a2",12,1
"14",1,1,1171,6,6,1,"1f931a2",13,1
"15",1,1,549,2,2,1,"1f931a2",14,1
"16",0,1,370,2,1,1,"1f931a2",15,1
"17",1,1,268,1,1,1,"1f931a2",16,1
"18",0,1,396,1,3,1,"1f931a2",17,1
"19",0,1,1104,6,1,1,"1f931a2",18,1
"20",1,1,887,5,5,1,"1f931a2",19,1
"21",0,0,398,4,4,1,"1f931a2",20,1
"22",1,0,205,4,1,1,"1f931a2",21,1
"23",0,0,367,3,3,1,"1f931a2",22,1
"24",1,0,418,1,2,1,"1f931a2",23,1
"25",0,0,242,6,6,1,"1f931a2",24,1
"26",0,0,621,2,2,1,"1f931a2",25,1
"27",0,0,404,1,1,1,"1f931a2",26,1
"28",0,1,270,1,5,1,"1f931a2",27,1
"29",1,1,152,3,3,1,"1f931a2",28,1
"30",0,1,402,3,1,1,"1f931a2",29,1
"31",0,1,348,4,1,1,"1f931a2",30,1
"32",1,1,270,4,4,1,"1f931a2",31,1
"33",1,1,327,5,5,1,"1f931a2",32,1
"34",0,1,211,6,1,1,"1f931a2",33,1
"35",1,0,31,2,1,1,"1f931a2",34,1
"36",1,1,0,4,4,1,"1f931a2",35,1
"37",0,0,530,3,3,1,"1f931a2",36,1
"38",1,0,581,1,6,1,"1f931a2",37,1
"39",0,0,633,5,5,1,"1f931a2",38,1
"40",1,1,346,2,2,1,"1f931a2",39,1
"41",0,1,91,3,1,1,"1f931a2",40,1
"42",1,1,371,6,6,1,"1f931a2",41,1
"43",1,1,390,1,1,1,"1f931a2",42,1
"44",0,1,329,1,5,1,"1f931a2",43,1
"45",0,1,256,4,1,1,"1f931a2",44,1
"46",0,1,416,4,1,1,"1f931a2",45,1
"47",1,1,322,6,6,1,"1f931a2",46,1
"48",1,1,104,5,5,1,"1f931a2",47,1
"49",1,1,1109,3,3,1,"1f931a2",48,1
"50",1,1,662,2,2,1,"1f931a2",49,1
"51",1,0,305,1,5,1,"1f931a2",50,1
"52",1,0,1379,1,3,1,"1f931a2",51,1
"53",1,0,1835,6,1,1,"1f931a2",52,1
"54",0,0,866,1,1,1,"1f931a2",53,1
"55",1,0,284,2,1,1,"1f931a2",54,1
"56",1,1,308,4,4,1,"1f931a2",55,1
"57",1,1,168,2,2,1,"1f931a2",56,1
"58",0,1,899,1,2,1,"1f931a2",57,1
"59",0,1,270,1,5,1,"1f931a2",58,1
