"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"321",1,1,520,4,4,1,"19213d8",31,1
"331",1,1,1398,3,3,1,"19213d8",32,1
"341",1,1,280,6,6,1,"19213d8",33,1
"351",0,1,1045,6,1,1,"19213d8",34,1
"361",0,1,279,4,1,1,"19213d8",35,1
"371",1,1,1741,1,1,1,"19213d8",36,1
"381",1,1,378,2,2,1,"19213d8",37,1
"391",1,1,1616,3,3,1,"19213d8",38,1
"401",1,0,808,3,1,1,"19213d8",39,1
"411",1,0,312,1,2,1,"19213d8",40,1
"421",1,1,277,6,6,1,"19213d8",41,1
"431",1,1,634,4,4,1,"19213d8",42,1
"441",1,1,479,5,5,1,"19213d8",43,1
"451",0,1,325,1,5,1,"19213d8",44,1
"461",1,1,624,4,4,1,"19213d8",45,1
"471",0,1,462,3,1,1,"19213d8",46,1
"481",0,1,638,6,1,1,"19213d8",47,1
"491",1,1,349,1,1,1,"19213d8",48,1
"501",0,1,423,2,1,1,"19213d8",49,1
"511",1,1,678,5,5,1,"19213d8",50,1
"521",1,1,326,6,6,1,"19213d8",51,1
"531",0,1,1401,1,4,1,"19213d8",52,1
"541",1,1,566,3,3,1,"19213d8",53,1
"551",0,1,528,1,5,1,"19213d8",54,1
"561",1,1,310,2,2,1,"19213d8",55,1
"571",0,1,587,5,1,1,"19213d8",56,1
"581",1,1,622,5,5,1,"19213d8",57,1
"591",1,1,335,6,6,1,"19213d8",58,1
"601",0,1,1012,1,3,1,"19213d8",59,1
"611",0,1,1325,1,6,1,"19213d8",60,1
"621",1,1,356,4,4,1,"19213d8",61,1
"631",0,1,81,4,1,1,"19213d8",62,1
"641",1,1,1234,2,2,1,"19213d8",63,1
"651",1,1,219,1,1,1,"19213d8",64,1
"661",1,1,486,3,3,1,"19213d8",65,1
"671",1,0,626,1,2,1,"19213d8",66,1
"681",0,1,185,1,3,1,"19213d8",67,1
"691",0,1,654,1,6,1,"19213d8",68,1
"701",1,1,434,3,3,1,"19213d8",69,1
"711",1,1,414,1,1,1,"19213d8",70,1
"721",1,1,369,6,6,1,"19213d8",71,1
"731",0,1,292,4,1,1,"19213d8",72,1
"741",0,1,295,5,1,1,"19213d8",73,1
"751",1,1,150,2,2,1,"19213d8",74,1
"761",1,0,357,1,2,1,"19213d8",75,1
"771",1,1,321,5,5,1,"19213d8",76,1
"781",1,1,246,4,4,1,"19213d8",77,1
"212",1,1,284,2,2,2,"1dc67ae",1,1
"312",1,1,268,4,4,2,"1dc67ae",2,1
"412",1,0,291,1,4,2,"1dc67ae",3,1
"512",1,0,277,5,1,2,"1dc67ae",4,1
"612",1,1,250,1,1,2,"1dc67ae",5,1
"710",1,1,259,5,5,2,"1dc67ae",6,1
"82",1,1,252,3,3,2,"1dc67ae",7,1
"92",1,0,247,1,3,2,"1dc67ae",8,1
"102",0,1,293,1,6,2,"1dc67ae",9,1
"112",1,0,277,1,2,2,"1dc67ae",10,1
"122",1,1,303,6,6,2,"1dc67ae",11,1
"132",0,1,303,3,1,2,"1dc67ae",12,1
"142",1,1,311,4,4,2,"1dc67ae",13,1
"152",0,1,306,6,1,2,"1dc67ae",14,1
"162",1,1,288,3,3,2,"1dc67ae",15,1
"172",1,1,277,6,6,2,"1dc67ae",16,1
"182",0,1,368,5,1,2,"1dc67ae",17,1
"192",0,1,334,1,4,2,"1dc67ae",18,1
"202",1,1,320,1,1,2,"1dc67ae",19,1
"213",0,1,343,1,2,2,"1dc67ae",20,1
"222",1,1,228,2,2,2,"1dc67ae",21,1
"232",0,0,289,5,5,2,"1dc67ae",22,1
"242",1,1,321,6,6,2,"1dc67ae",23,1
"252",1,1,386,3,3,2,"1dc67ae",24,1
"262",0,1,315,3,1,2,"1dc67ae",25,1
"272",1,1,295,4,4,2,"1dc67ae",26,1
"282",0,1,335,5,1,2,"1dc67ae",27,1
"292",0,1,380,1,4,2,"1dc67ae",28,1
"302",1,1,293,2,2,2,"1dc67ae",29,1
"313",0,1,299,1,6,2,"1dc67ae",30,1
"322",0,1,320,2,1,2,"1dc67ae",31,1
"332",1,1,430,5,5,2,"1dc67ae",32,1
"342",1,1,319,1,1,2,"1dc67ae",33,1
"352",1,1,308,3,3,2,"1dc67ae",34,1
"362",0,1,380,1,3,2,"1dc67ae",35,1
"372",1,1,360,4,4,2,"1dc67ae",36,1
"382",1,1,316,1,1,2,"1dc67ae",37,1
"392",0,1,392,1,4,2,"1dc67ae",38,1
"402",0,1,332,5,1,2,"1dc67ae",39,1
"413",1,1,324,6,6,2,"1dc67ae",40,1
"422",1,0,280,2,1,2,"1dc67ae",41,1
"432",0,1,322,1,6,2,"1dc67ae",42,1
"442",1,1,280,5,5,2,"1dc67ae",43,1
