"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"351",1,1,347,4,4,0,"113c150",34,1
"361",0,1,468,1,5,0,"113c150",35,1
"371",0,1,134,1,6,0,"113c150",36,1
"381",0,1,334,1,4,0,"113c150",37,1
"391",1,1,274,4,4,0,"113c150",38,1
"401",1,1,233,5,5,0,"113c150",39,1
"411",1,1,501,1,1,0,"113c150",40,1
"421",1,1,85,6,6,0,"113c150",41,1
"431",0,1,231,5,1,0,"113c150",42,1
"441",1,1,449,6,6,0,"113c150",43,1
"451",0,1,251,4,1,0,"113c150",44,1
"461",0,1,83,1,6,0,"113c150",45,1
"471",1,1,270,5,5,0,"113c150",46,1
"481",0,1,103,1,5,0,"113c150",47,1
"491",1,1,191,4,4,0,"113c150",48,1
"501",1,1,208,1,1,0,"113c150",49,1
"511",1,1,273,6,6,0,"113c150",50,1
"521",1,1,212,1,1,0,"113c150",51,1
"531",1,1,358,4,4,0,"113c150",52,1
"541",1,1,317,5,5,0,"113c150",53,1
"551",0,1,215,5,1,0,"113c150",54,1
"561",0,1,274,1,4,0,"113c150",55,1
"571",0,1,131,6,1,0,"113c150",56,1
"581",1,1,182,5,5,0,"113c150",57,1
"591",0,1,311,1,4,0,"113c150",58,1
"601",0,1,303,1,5,0,"113c150",59,1
"611",1,1,185,6,6,0,"113c150",60,1
"621",0,1,299,6,1,0,"113c150",61,1
"631",1,1,517,1,1,0,"113c150",62,1
"641",1,1,310,4,4,0,"113c150",63,1
"651",0,1,207,6,1,0,"113c150",64,1
"661",0,0,431,6,6,0,"113c150",65,1
"671",1,1,354,5,5,0,"113c150",66,1
"681",0,1,307,1,4,0,"113c150",67,1
"691",0,1,300,1,5,0,"113c150",68,1
"701",1,1,343,1,1,0,"113c150",69,1
"711",1,1,247,4,4,0,"113c150",70,1
"212",1,1,700,4,4,0,"1563fbc",1,1
"312",0,1,480,4,1,0,"1563fbc",2,1
"412",0,1,447,1,5,0,"1563fbc",3,1
"512",0,1,366,6,1,0,"1563fbc",4,1
"612",0,0,319,1,1,0,"1563fbc",5,1
