"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,0,570,4,1,1,"11b072c",1,1
"3",1,1,481,4,4,1,"11b072c",2,1
"4",1,1,380,6,6,1,"11b072c",3,1
"5",0,1,352,6,1,1,"11b072c",4,1
"6",1,0,575,5,1,1,"11b072c",5,1
"7",0,0,778,1,1,1,"11b072c",6,1
"8",1,1,575,5,5,1,"11b072c",7,1
"9",1,1,382,1,1,1,"11b072c",8,1
"10",1,0,522,4,1,1,"11b072c",9,1
"11",1,0,270,5,1,1,"11b072c",10,1
"12",1,1,303,5,5,1,"11b072c",11,1
"13",1,0,322,6,1,1,"11b072c",12,1
"14",0,0,502,4,4,1,"11b072c",13,1
"15",0,0,326,6,6,1,"11b072c",14,1
"16",1,1,327,4,4,1,"11b072c",15,1
"17",0,0,356,6,6,1,"11b072c",16,1
"18",0,0,302,5,5,1,"11b072c",17,1
"19",1,0,429,1,5,1,"11b072c",18,1
"20",0,0,293,1,1,1,"11b072c",19,1
"21",0,1,336,1,4,1,"11b072c",20,1
"22",0,1,313,6,1,1,"11b072c",21,1
"23",0,1,393,1,4,1,"11b072c",22,1
"24",0,0,638,4,4,1,"11b072c",23,1
"25",0,0,406,6,6,1,"11b072c",24,1
"26",0,0,282,1,1,1,"11b072c",25,1
"27",1,0,745,5,1,1,"11b072c",26,1
"28",0,1,293,6,1,1,"11b072c",27,1
"29",0,0,295,5,5,1,"11b072c",28,1
"30",1,1,533,1,1,1,"11b072c",29,1
"31",0,1,873,4,1,1,"11b072c",30,1
"32",0,1,443,6,1,1,"11b072c",31,1
"33",1,0,357,1,5,1,"11b072c",32,1
"34",0,0,269,6,6,1,"11b072c",33,1
"35",1,1,402,4,4,1,"11b072c",34,1
"36",1,1,429,5,5,1,"11b072c",35,1
"37",1,0,328,1,4,1,"11b072c",36,1
"38",1,1,437,5,5,1,"11b072c",37,1
"39",0,0,406,4,4,1,"11b072c",38,1
"40",0,0,294,6,6,1,"11b072c",39,1
"41",0,0,337,1,1,1,"11b072c",40,1
