"","Gender","Age","Ethnicity","Race","SubID"
"1","M",31,"NHL","AA","1c8c9ec"
"2","F",20,"NHL","A","118dec7"
"3","F",19,"NHL","W","1d2a808"
"4","M",34,"NHL","W","1b45d8d"
"5","M",36,"NHL","W","1775149"
"6","M",29,"NHL","W","15ece3b"
"7","M",34,"HL","M","004b722"
"8","M",30,"NHL","W","1a9fbe3"
"9","M",30,"HL","NA","12ec039"
"10","M",27,"NHL","AA","13b52e0"
"11","F",28,"NHL","W","1f08bb8"
"12","F",26,"NHL","W","1f118fa"
"13","F",NA,"NA","NA","16a4d8b"
"14","F",29,"NHL","W","1bef586"
"15","F",30,"HL","W","17ecebf"
"16","M",30,"NHL","W","1422ddf"
"17","F",22,"NHL","W","18b92d6"
"18","M",26,"NHL","A","12c199e"
"19","F",29,"NHL","W","bba308e"
"20","M",24,"NHL","W","105a60a"
"21","M",24,"HL","W","1d5d7ff"
"22","M",29,"NHL","W","anglesc"
"23","F",20,"NHL","A","125dbb9"
"24","M",28,"NHL","W","659cac4"
"25","M",35,"NHL","W","1c25873"
"26","F",22,"NHL","W","1d48048"
"27","F",26,"NHL","W","16ad698"
"28","M",26,"NHL","M","1ac4fc1"
"29","M",33,"NHL","W","12fa6a3"
"30","M",23,"NHL","M","17437be"
"31","M",21,"NHL","A","17c8852"
"32","F",34,"NHL","W","11ac832"
"33","F",35,"NHL","W","1d910d5"
"34","M",27,"NHL","W","15686f6"
"35","F",32,"NHL","W","18cf318"
