"","post_surve","prolificID","SubID","confirm_code"
"1","Asmallchunkofrockontheouterleftsurfacechangedsize.","5ad79dd33ba33e0001c8c9ec","1c8c9ec","1jrPxRGZ.txt"
"2","theformofthedarkshapesatthebottomright","5b71c56d457b53000118dec7","118dec7","1Wg1wK54.txt"
"3","therectangularshapesontherock","5b2c5d2a0ec82d0001d2a808","1d2a808","3daVcuzI.txt"
"4","Intheupperleft,observethedifferenceswhentheyexisted","5b26da1934ffd00001b45d8d","1b45d8d","3gRccNjp.txt"
"5","Theupperlefthandcornerhadpartsthatstuckoutdifferently","5a6fa72d9cdd180001775149","1775149","A7TkXlq3.txt"
"6","Theshadesandsizeoftheleftmostobjects.","5af5f6e93aba4900015ece3b","15ece3b","aoYKIJ3P.txt"
"7","Theformationontherightofthestructurehadanedgethatwasprettyeasytodistinguishfromothers,onceyounoticeit.","558812eefdf99b14f004b722","004b722","btjy8eZy.txt"
"8","Thelowerrightone.","5a876665ae9a0b0001a9fbe3","1a9fbe3","bYiNkOtd.txt"
"9","Thetopleftcornerwasdifferent.Thebottompartvariedinsizeandsometimeshadasmallpieceattachedtoit.","59ac8dcc0acd5600012ec039","12ec039","EiwVwE1e.txt"
"10","ThedifferenceIconcentratedonwasthelittleshadowunderneaththetopleftrock.Theshadowwasonthebottomrightcorneroftherock.","5bafc0ed27fb5000013b52e0","13b52e0","fJrsKcd7.txt"
"11","therocksandshadowsonthetop/leftofthebigmainrock","5ba841eda2a1ae0001f08bb8","1f08bb8","gugvgxBB.txt"
"12","Partofthelumpinthetopleftchangedsizeandshape.","5b53e29cc09af90001f118fa","1f118fa","HVAyVfJo.txt"
"13","theplacement","5ad4a9f30f5d3900016a4d8b","16a4d8b","I04PMez0.txt"
"14","therewere3partsoneonthetop,oneonmiddleontheside,andoneonethebottom.themiddleobjectonthesidehasanobjectthatwouldchange.","5b0763afa84dcf0001bef586","1bef586","IGMT9IdN.txt"
"15","Thetoprightedgeofthetopfrontlump/shape.","59e29e405de9b000017ecebf","17ecebf","jCy6bYLD.txt"
"16","shadowsthatweredifferentandsize","5bbd03e061906b0001422ddf","1422ddf","kWbygQMf.txt"
"17","Themiddlerightsideoftheobjectwasdifferent","5b089c2ba6f07e00018b92d6","18b92d6","L3BVAIxL.txt"
"18","Theleftbottomcorner","59f986488a2d3d00012c199e","12c199e","lpcWaaAa.txt"
"19","therockontheleft,thestickingoutpartoftherockchangedsizes.","5559a3a1fdf99b514bba308e","bba308e","lUkgITXS.txt"
"20","Apieceofthebottommiddlerock","5b2fda4e530770000105a60a","105a60a","lzrjVx5v.txt"
"21","Onthefrontrightface,thewidthoftheprotrusionwouldchangeslightly","5b2fb4b86d601d0001d5d7ff","1d5d7ff","Mt9P5xUW.txt"
"22","Theshapeonthetopleftdiffered","theharshnessoftheangleschanged.","anglesc","N9nAUBzm.txt"
"23","Itseemedthattheoutlineoftheshapesdifferedbetweenthepairs.","57bdf383467f26000125dbb9","125dbb9","ODdqXvDG.txt"
"24","thenoduleonthebottom-right","5753094eae5241000659cac4","659cac4","ONMDzRdd.txt"
"25","thecolors,shapes,andobjectsizes","58e195b2a8343e0001c25873","1c25873","OU09jJt8.txt"
"26","Thebottomrightclump/partdifferedinsize","5962e5c8ba58f30001d48048","1d48048","OvWVQXzF.txt"
"27","bottompartofthelowerleftnub","5b83474f16aa4400016ad698","16ad698","QLUEBPrQ.txt"
"28","frontrightparts","581fce42429ef50001ac4fc1","1ac4fc1","sDXFNdGl.txt"
"29","ThebottomleftportioniswhatInoticedtobetheplacetogaugedifferences.","5a1fa084063e8600012fa6a3","12fa6a3","SyVK43wO.txt"
"30","therocklookingformationatthebottomleftwaswhatwasalwaysdifferent","5808672cc6e08800017437be","17437be","uday7Qab.txt"
"31","Thebottomrightsectionofdarkergrayblocksweredifferent","5ba2a73912cbb600017c8852","17c8852","V80Ihw1V.txt"
"32","Theclusteratthelowerleft","5a13e58baac54e00011ac832","11ac832","Wz7Gb42l.txt"
"33","Intherightside,front,theblockswerethinnerorwidereachtime.","58a43e029a17120001d910d5","1d910d5","xtc1avls.txt"
"34","thebottompartofthedrawing","5b0f4d63bd9c3100015686f6","15686f6","zXZng8Sd.txt"
"35","thetopnodeoftherockchanged","5a8e3a33000dab00018cf318","18cf318","zzn2T4ws.txt"
