"","Gender","Age","Ethnicity","Race","SubID"
"1","M",24,"NHL","W","1119c1a"
"2","M",30,"NHL","W","13599c4"
"3","M",24,"NHL","A","1ae267d"
"4","F",31,"NHL","W","174f263"
"5","M",23,"NHL","W","6b47f38"
"6","F",26,"NHL","W","10438bd"
"7","M",33,"NHL","W","1df9302"
"8","M",33,"NHL","W","11370b2"
"9","M",32,"NHL","W","4bb1165"
"10","F",18,"NHL","W","1c9996b"
"11","F",33,"NHL","W","10f4080"
"12","M",27,"NHL","W","1ea6a38"
"13","F",32,"NHL","W","1d673f8"
"14","M",25,"NHL","W","1716fec"
"15","F",30,"NHL","A","c223b3d"
"16","F",32,"NHL","W","1bee965"
"17","F",30,"NHL","M","1a6c98e"
"18","M",29,"NHL","W","1545656"
"19","F",27,"NA","O","11967ad"
"20","M",35,"NHL","W","63b3c45"
"21","M",32,"NHL","W","1510d9a"
"22","M",33,"NHL","W","1106b05"
"23","M",26,"NHL","W","17eb20f"
"24","M",30,"NHL","W","1949a39"
"25","F",23,"NHL","W","1f9414c"
"26","F",20,"HL","M","182eced"
"27","F",31,"NHL","W","1da7c0d"
"28","M",30,"NHL","W","1ca3c4b"
"29","M",23,"NHL","A","1f873c3"
"30","M",24,"HL","M","126d650"
"31","M",32,"NHL","W","1fdef44"
"32","F",29,"NHL","W","173ab26"
"33","M",34,"NHL","W","5e95a48"
"34","F",24,"NHL","W","12344b0"
"35","M",22,"NHL","A","19803b3"
"36","F",30,"NHL","W","1791002"
"37","F",21,"NHL","W","1ad91bb"
"38","F",34,"NHL","W","13d1a8a"
"39","M",26,"NHL","W","1c24bad"
"40","M",31,"NHL","W","1d48123"
"41","F",19,"NHL","A","126790a"
"42","M",32,"NHL","AA","1dc4e64"
"43","F",30,"NHL","W","b400a34"
"44","M",31,"NHL","W","147720c"
"45","F",28,"NA","NA","1b9af76"
"46","M",28,"NHL","W","1e201dd"
"47","F",26,"NHL","W","1c4646c"
"48","F",32,"NHL","AA","1c50b4a"
"49","F",29,"NHL","W","167756b"
"50","M",28,"NHL","W","13258cc"
"51","F",33,"NHL","W",""
"52","F",23,"NHL","A","137d18e"
"53","M",29,"NHL","W","1734a38"
"54","M",33,"NHL","W","19341ae"
"55","F",27,"NHL","W","16c2235"
"56","M",18,"NHL","W","15b70cc"
"57","F",29,"NA","NA","17ca5fb"
"58","M",29,"NHL","W","1d5d204"
"59","M",31,"NHL","W","6278c61"
"60","F",36,"NHL","A","1c2d9ef"
"61","F",31,"NHL","W","1050095"
"62","M",19,"NHL","A","1b13ff2"
"63","M",25,"NHL","AA","1eb3a5f"
"64","F",27,"NHL","W","17a31ed"
"65","M",24,"NA","W","1d15b83"
"66","M",30,"NHL","W","1dcb475"
"67","M",33,"NHL","W","154a406"
"68","F",21,"NHL","W","1070d1e"
"69","M",26,"NHL","W","18c5049"
"70","M",33,"NHL","W","1919e5c"
"71","F",23,"NHL","W","175a5ad"
"72","M",28,"NHL","M","1b315b0"
"73","M",34,"HL","AI","15fe385"
"74","M",28,"NHL","W","1ac933e"
"75","F",27,"NHL","W","1d0ff4b"
"76","M",34,"NHL","M","18d2c1a"
"77","F",28,"NHL","W","173325b"
"78","M",26,"NHL","W","1b47812"
"79","F",26,"NHL","A","1d9ad2f"
"80","F",25,"NHL","W","1612848"
