"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"271",1,1,1998,1,1,1,"14fa68e",26,1
"281",0,1,1530,1,5,1,"14fa68e",27,1
"291",0,1,2000,4,1,1,"14fa68e",28,1
"301",1,1,1307,5,5,1,"14fa68e",29,1
"311",0,1,590,2,1,1,"14fa68e",30,1
"321",0,0,597,2,2,1,"14fa68e",31,1
"331",0,1,1940,6,1,1,"14fa68e",32,1
"341",1,1,1078,3,3,1,"14fa68e",33,1
"351",0,1,1984,1,6,1,"14fa68e",34,1
"361",1,1,436,2,2,1,"14fa68e",35,1
"371",1,0,594,2,1,1,"14fa68e",36,1
"381",0,1,1519,5,1,1,"14fa68e",37,1
"391",0,1,1153,1,4,1,"14fa68e",38,1
"401",1,1,521,1,1,1,"14fa68e",39,1
"411",0,1,1975,1,3,1,"14fa68e",40,1
"421",1,1,1571,6,6,1,"14fa68e",41,1
"431",0,0,784,3,3,1,"14fa68e",42,1
"441",-1,0,699,5,5,1,"14fa68e",43,1
"451",1,1,361,4,4,1,"14fa68e",44,1
"461",0,1,1592,1,6,1,"14fa68e",45,1
"471",0,0,505,3,3,1,"14fa68e",46,1
"481",1,1,555,6,6,1,"14fa68e",47,1
"491",1,1,755,2,2,1,"14fa68e",48,1
"501",0,1,1268,1,4,1,"14fa68e",49,1
"511",1,1,1089,1,1,1,"14fa68e",50,1
"521",1,0,1080,2,1,1,"14fa68e",51,1
"531",1,1,453,4,4,1,"14fa68e",52,1
"541",0,1,1102,5,1,1,"14fa68e",53,1
"551",1,1,1384,5,5,1,"14fa68e",54,1
"561",0,1,756,3,1,1,"14fa68e",55,1
"571",0,1,1033,5,1,1,"14fa68e",56,1
"581",1,1,457,3,3,1,"14fa68e",57,1
"591",1,1,1981,6,6,1,"14fa68e",58,1
"601",0,1,857,1,6,1,"14fa68e",59,1
"611",0,1,1997,4,1,1,"14fa68e",60,1
"621",0,1,1242,1,2,1,"14fa68e",61,1
"631",0,1,1321,1,3,1,"14fa68e",62,1
"641",1,1,1999,4,4,1,"14fa68e",63,1
"651",1,1,769,1,1,1,"14fa68e",64,1
"661",1,1,929,5,5,1,"14fa68e",65,1
"671",1,1,542,2,2,1,"14fa68e",66,1
"681",0,1,1934,1,3,1,"14fa68e",67,1
"691",0,1,1776,1,4,1,"14fa68e",68,1
"701",1,1,512,5,5,1,"14fa68e",69,1
"711",0,1,1974,5,1,1,"14fa68e",70,1
"721",1,1,1162,1,1,1,"14fa68e",71,1
"731",1,1,870,3,3,1,"14fa68e",72,1
"741",1,0,431,1,2,1,"14fa68e",73,1
"751",1,1,552,4,4,1,"14fa68e",74,1
"761",1,1,592,2,2,1,"14fa68e",75,1
"771",0,1,463,1,6,1,"14fa68e",76,1
"781",1,1,1216,6,6,1,"14fa68e",77,1
"212",0,1,244,1,2,2,"1d6393b",1,1
"312",1,1,271,1,1,2,"1d6393b",2,1
"412",1,1,263,4,4,2,"1d6393b",3,1
"512",1,1,245,2,2,2,"1d6393b",4,1
"612",0,1,302,4,1,2,"1d6393b",5,1
"710",1,1,336,6,6,2,"1d6393b",6,1
"82",0,1,295,6,1,2,"1d6393b",7,1
"92",0,1,450,3,1,2,"1d6393b",8,1
"102",0,1,314,1,5,2,"1d6393b",9,1
