"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",0,0,549,4,4,1,"156435d",1,1
"3",0,0,369,3,3,1,"156435d",2,1
"4",0,1,330,1,6,1,"156435d",3,1
"5",1,1,483,5,5,1,"156435d",4,1
"6",0,1,559,2,1,1,"156435d",5,1
"7",0,0,358,1,1,1,"156435d",6,1
"8",0,1,447,4,1,1,"156435d",7,1
"9",1,1,350,2,2,1,"156435d",8,1
"10",0,1,465,1,5,1,"156435d",9,1
"11",0,1,511,1,3,1,"156435d",10,1
"12",1,1,498,6,6,1,"156435d",11,1
"13",0,1,326,3,1,1,"156435d",12,1
"14",0,1,1621,6,1,1,"156435d",13,1
"15",0,0,376,6,6,1,"156435d",14,1
"16",0,1,238,1,5,1,"156435d",15,1
"17",1,1,484,2,2,1,"156435d",16,1
"18",1,1,2,3,3,1,"156435d",17,1
"19",1,1,311,4,4,1,"156435d",18,1
"20",1,0,334,2,1,1,"156435d",19,1
"21",1,1,293,5,5,1,"156435d",20,1
"22",0,1,422,4,1,1,"156435d",21,1
"23",1,1,316,1,1,1,"156435d",22,1
"24",0,1,489,1,4,1,"156435d",23,1
"25",0,1,1085,6,1,1,"156435d",24,1
"26",1,1,555,2,2,1,"156435d",25,1
"27",1,1,527,5,5,1,"156435d",26,1
"28",1,1,679,6,6,1,"156435d",27,1
"29",0,1,362,1,2,1,"156435d",28,1
"30",1,1,448,1,1,1,"156435d",29,1
"31",0,1,625,3,1,1,"156435d",30,1
"32",0,1,529,5,1,1,"156435d",31,1
"33",1,1,432,3,3,1,"156435d",32,1
"34",0,0,317,4,4,1,"156435d",33,1
"35",1,1,336,4,4,1,"156435d",34,1
"36",1,1,531,3,3,1,"156435d",35,1
"37",1,1,425,2,2,1,"156435d",36,1
"38",0,1,409,3,1,1,"156435d",37,1
"39",0,1,951,4,1,1,"156435d",38,1
"40",1,1,366,1,1,1,"156435d",39,1
"41",0,1,545,1,6,1,"156435d",40,1
"42",1,1,388,6,6,1,"156435d",41,1
"43",0,1,560,1,5,1,"156435d",42,1
"44",0,1,529,2,1,1,"156435d",43,1
"45",1,1,438,5,5,1,"156435d",44,1
"46",0,1,543,1,3,1,"156435d",45,1
"47",1,1,452,6,6,1,"156435d",46,1
"48",1,1,412,2,2,1,"156435d",47,1
"49",1,1,493,4,4,1,"156435d",48,1
"50",0,1,303,6,1,1,"156435d",49,1
"51",1,1,430,5,5,1,"156435d",50,1
"52",0,1,355,1,5,1,"156435d",51,1
"53",1,0,440,2,1,1,"156435d",52,1
"54",0,1,241,1,4,1,"156435d",53,1
"55",1,1,655,3,3,1,"156435d",54,1
"56",1,1,426,1,1,1,"156435d",55,1
"57",0,1,585,3,1,1,"156435d",56,1
"58",1,1,302,6,6,1,"156435d",57,1
"59",1,1,359,5,5,1,"156435d",58,1
"60",1,1,454,2,2,1,"156435d",59,1
"61",1,1,360,3,3,1,"156435d",60,1
"62",0,1,427,1,6,1,"156435d",61,1
