"","Gender","Age","Ethnicity","Race","SubID"
"1","M",21,"NHL","AA","1f931a2"
"2","F",26,"NHL","W","161dd02"
"3","F",19,"NA","NA","1b9c78e"
"4","M",34,"NHL","W","1b87947"
"5","M",33,"NHL","AA","11b15d7"
"6","M",19,"NHL","W","1d2f220"
"7","F",19,"NHL","AA","1ff6494"
"8","M",35,"NHL","W","b4a8d6e"
"9","M",34,"NHL","W","136284a"
"10","M",19,"NHL","AA","11df91a"
"11","F",25,"NHL","W","157eda7"
"12","M",18,"NHL","W","15a53a1"
"13","F",33,"NHL","W","1828b23"
"14","F",NA,"NHL","AA","1b1b092"
"15","M",21,"NA","W","1025a8d"
"16","M",28,"HL","W","1bdb799"
"17","F",19,"NHL","W","1ed4bee"
"18","M",30,"NHL","W","13af2ed"
"19","F",31,"NHL","W","19e33dc"
"20","F",25,"NHL","W","1b65e8f"
"21","M",30,"NHL","W","10d165c"
"22","M",22,"NHL","A","1c84f2b"
"23","F",34,"NHL","AA","176feb5"
"24","F",25,"NHL","M","118d48d"
"25","F",24,"HL","O","13cd36f"
"26","M",24,"NHL","AA","118a007"
"27","M",20,"NHL","W","1e5fe48"
"28","F",26,"NHL","M","1c965df"
