"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",0,1,925,5,1,3,"189e236",1,1
"3",0,1,428,3,1,3,"189e236",2,1
"4",1,1,344,1,1,3,"189e236",3,1
"5",1,1,414,6,6,3,"189e236",4,1
"6",0,0,344,3,3,3,"189e236",5,1
"7",0,0,1684,4,4,3,"189e236",6,1
"8",1,0,1496,4,1,3,"189e236",7,1
"9",0,1,554,1,6,3,"189e236",8,1
"10",1,0,1241,1,2,3,"189e236",9,1
"11",0,0,408,5,5,3,"189e236",10,1
"12",1,1,1305,2,2,3,"189e236",11,1
"13",1,1,1441,1,1,3,"189e236",12,1
"14",1,1,1419,6,6,3,"189e236",13,1
"15",0,1,437,1,6,3,"189e236",14,1
"16",0,0,1798,3,3,3,"189e236",15,1
"17",1,0,472,1,3,3,"189e236",16,1
"18",1,1,935,4,4,3,"189e236",17,1
"19",1,1,1277,2,2,3,"189e236",18,1
"20",0,0,1247,5,5,3,"189e236",19,1
"21",-1,-1,0,1,4,3,"189e236",20,1
"22",1,0,565,5,1,3,"189e236",21,1
"23",1,0,1018,2,1,3,"189e236",22,1
"24",1,0,789,3,1,3,"189e236",23,1
"25",1,1,448,2,2,3,"189e236",24,1
"26",0,1,342,2,1,3,"189e236",25,1
"27",1,1,1281,5,5,3,"189e236",26,1
"28",-1,-1,0,6,6,3,"189e236",27,1
"29",-1,-1,0,3,3,3,"189e236",28,1
"30",1,1,760,4,4,3,"189e236",29,1
"31",1,1,1739,1,1,3,"189e236",30,1
"32",0,1,1251,5,1,3,"189e236",31,1
"33",-1,-1,0,6,1,3,"189e236",32,1
"34",1,0,1863,1,4,3,"189e236",33,1
"35",0,1,1764,1,6,3,"189e236",34,1
"36",1,1,624,1,1,3,"189e236",35,1
"37",1,1,1607,4,4,3,"189e236",36,1
"38",1,0,1703,1,2,3,"189e236",37,1
"39",-1,-1,0,3,3,3,"189e236",38,1
"40",0,0,765,2,2,3,"189e236",39,1
"41",1,0,991,3,1,3,"189e236",40,1
"42",1,1,278,5,5,3,"189e236",41,1
"43",0,1,323,1,5,3,"189e236",42,1
"44",1,1,433,6,6,3,"189e236",43,1
"45",0,1,951,4,1,3,"189e236",44,1
"46",0,1,420,2,1,3,"189e236",45,1
"47",0,1,475,5,1,3,"189e236",46,1
"48",0,1,347,1,3,3,"189e236",47,1
"49",1,1,292,6,6,3,"189e236",48,1
"50",0,1,357,1,6,3,"189e236",49,1
"51",0,0,393,3,3,3,"189e236",50,1
"52",1,1,293,2,2,3,"189e236",51,1
"53",1,0,532,4,1,3,"189e236",52,1
"54",1,1,671,1,1,3,"189e236",53,1
"55",1,1,296,4,4,3,"189e236",54,1
"56",1,1,304,5,5,3,"189e236",55,1
"57",1,0,285,1,2,3,"189e236",56,1
"58",0,0,362,1,1,3,"189e236",57,1
"59",0,1,555,3,1,3,"189e236",58,1
"60",1,1,287,2,2,3,"189e236",59,1
"61",1,1,251,6,6,3,"189e236",60,1
"62",0,1,311,1,4,3,"189e236",61,1
"63",1,0,1060,6,1,3,"189e236",62,1
"64",1,1,348,3,3,3,"189e236",63,1
"65",1,1,394,5,5,3,"189e236",64,1
"66",1,1,582,4,4,3,"189e236",65,1
"67",1,0,332,5,1,3,"189e236",66,1
"68",0,1,923,4,1,3,"189e236",67,1
"69",1,1,376,1,1,3,"189e236",68,1
"70",1,1,309,5,5,3,"189e236",69,1
"71",1,1,262,6,6,3,"189e236",70,1
"72",1,1,335,3,3,3,"189e236",71,1
"73",0,1,351,2,1,3,"189e236",72,1
"74",0,1,447,6,1,3,"189e236",73,1
"75",1,0,414,1,3,3,"189e236",74,1
"76",1,1,406,4,4,3,"189e236",75,1
"77",0,1,378,5,1,3,"189e236",76,1
"78",1,1,1427,2,2,3,"189e236",77,1
"210",1,1,77,3,3,2,"1aeba69",1,1
"310",1,1,248,2,2,2,"1aeba69",2,1
"410",1,0,311,3,1,2,"1aeba69",3,1
"510",1,1,286,1,1,2,"1aeba69",4,1
"610",0,0,457,6,6,2,"1aeba69",5,1
"79",1,1,229,5,5,2,"1aeba69",6,1
"81",0,1,213,6,1,2,"1aeba69",7,1
"91",1,1,180,4,4,2,"1aeba69",8,1
"101",1,0,469,2,1,2,"1aeba69",9,1
"111",0,1,283,4,1,2,"1aeba69",10,1
"121",0,1,236,5,1,2,"1aeba69",11,1
"131",0,1,170,1,2,2,"1aeba69",12,1
"141",0,1,258,6,1,2,"1aeba69",13,1
"151",1,1,88,4,4,2,"1aeba69",14,1
"161",1,1,365,1,1,2,"1aeba69",15,1
"171",0,1,392,3,1,2,"1aeba69",16,1
"181",0,1,251,1,4,2,"1aeba69",17,1
"191",1,1,184,6,6,2,"1aeba69",18,1
"201",1,1,284,2,2,2,"1aeba69",19,1
"211",1,1,52,5,5,2,"1aeba69",20,1
"221",1,1,316,3,3,2,"1aeba69",21,1
"231",0,1,422,1,5,2,"1aeba69",22,1
"241",0,1,204,3,1,2,"1aeba69",23,1
"251",1,1,93,5,5,2,"1aeba69",24,1
"261",1,1,274,1,1,2,"1aeba69",25,1
"271",0,1,203,1,6,2,"1aeba69",26,1
"281",0,1,266,1,4,2,"1aeba69",27,1
"291",1,1,88,2,2,2,"1aeba69",28,1
"301",1,1,256,3,3,2,"1aeba69",29,1
"311",1,1,288,4,4,2,"1aeba69",30,1
"321",0,1,224,1,2,2,"1aeba69",31,1
"331",0,1,297,1,5,2,"1aeba69",32,1
"341",1,1,365,6,6,2,"1aeba69",33,1
"351",1,1,335,5,5,2,"1aeba69",34,1
"361",0,1,234,2,1,2,"1aeba69",35,1
"371",0,1,476,1,3,2,"1aeba69",36,1
"381",0,1,295,5,1,2,"1aeba69",37,1
"391",0,0,207,6,6,2,"1aeba69",38,1
"401",1,1,169,3,3,2,"1aeba69",39,1
"411",0,1,248,6,1,2,"1aeba69",40,1
"421",1,1,1363,4,4,2,"1aeba69",41,1
"431",1,1,511,1,1,2,"1aeba69",42,1
"441",0,1,443,1,4,2,"1aeba69",43,1
"451",1,1,175,2,2,2,"1aeba69",44,1
"461",0,1,192,2,1,2,"1aeba69",45,1
"471",1,1,206,1,1,2,"1aeba69",46,1
"481",0,1,539,1,6,2,"1aeba69",47,1
"491",1,1,240,4,4,2,"1aeba69",48,1
"501",1,1,709,2,2,2,"1aeba69",49,1
"511",0,1,250,3,1,2,"1aeba69",50,1
"521",1,1,189,6,6,2,"1aeba69",51,1
"531",0,1,240,5,1,2,"1aeba69",52,1
"541",1,1,270,5,5,2,"1aeba69",53,1
"551",1,1,189,3,3,2,"1aeba69",54,1
"561",0,1,307,1,4,2,"1aeba69",55,1
"571",1,1,109,2,2,2,"1aeba69",56,1
"581",0,1,535,5,1,2,"1aeba69",57,1
"591",0,1,264,1,3,2,"1aeba69",58,1
"601",0,1,274,1,4,2,"1aeba69",59,1
"611",0,0,293,4,4,2,"1aeba69",60,1
"621",1,1,201,5,5,2,"1aeba69",61,1
"631",1,1,332,1,1,2,"1aeba69",62,1
"641",0,1,309,6,1,2,"1aeba69",63,1
"651",0,1,252,1,2,2,"1aeba69",64,1
"661",1,1,130,6,6,2,"1aeba69",65,1
"671",1,1,4,3,3,2,"1aeba69",66,1
"681",0,1,159,5,1,2,"1aeba69",67,1
"691",1,1,605,6,6,2,"1aeba69",68,1
"701",1,1,185,2,2,2,"1aeba69",69,1
"711",0,1,264,1,6,2,"1aeba69",70,1
"721",0,1,113,1,4,2,"1aeba69",71,1
"731",1,1,243,1,1,2,"1aeba69",72,1
"741",1,1,313,3,3,2,"1aeba69",73,1
"751",0,1,434,1,3,2,"1aeba69",74,1
"761",1,1,164,5,5,2,"1aeba69",75,1
"771",0,1,252,1,2,2,"1aeba69",76,1
"781",1,1,22,4,4,2,"1aeba69",77,1
"212",1,1,529,1,1,3,"1596ba3",1,1
"312",1,0,297,3,1,3,"1596ba3",2,1
"412",0,1,340,5,1,3,"1596ba3",3,1
"512",1,0,528,1,6,3,"1596ba3",4,1
