"","Gender","Age","Ethnicity","Race","SubID"
"1","F",28,"NHL","W","11b072c"
"2","NA",19,"NHL","W","ba23f83"
"3","F",22,"NHL","A","1c07056"
"4","M",32,"NHL","A","122bd74"
"5","M",25,"NHL","A","140306f"
"6","F",27,"NHL","W","12454bc"
"7","F",19,"NHL","A","1565b1c"
"8","M",24,"NHL","W","1929696"
"9","F",28,"NHL","W","1fc8de2"
"10","M",32,"NHL","W","1269842"
"11","F",33,"NHL","W","1451681"
"12","F",19,"NHL","A","15fd7a1"
"13","F",21,"NHL","A","1b64011"
"14","F",26,"NHL","W","153661a"
"15","F",25,"NHL","W","1637844"
"16","M",18,"HL","NA","1113668"
"17","M",18,"NHL","W","1e678ea"
"18","F",18,"NHL","M","17cb109"
"19","F",27,"HL","W","15445fd"
"20","F",31,"HL","W","19dcb2d"
"21","M",28,"NHL","W","1e53dbe"
"22","M",24,"NHL","W","1270631"
"23","F",33,"NHL","W","1c7400f"
"24","F",20,"NHL","W","14685da"
"25","F",33,"NHL","W","1308d4a"
"26","F",19,"NHL","W","1a83df5"
"27","M",26,"NHL","W","18f528d"
"28","F",28,"NHL","W","13b3013"
