"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"2",1,1,564,5,5,1,"1119c1a",1,1
"3",0,0,586,3,3,1,"1119c1a",2,1
"4",1,1,241,4,4,1,"1119c1a",3,1
"5",1,1,355,1,1,1,"1119c1a",4,1
"6",1,1,283,2,2,1,"1119c1a",5,1
"7",0,1,532,4,1,1,"1119c1a",6,1
"8",1,0,247,6,1,1,"1119c1a",7,1
"9",1,0,262,1,2,1,"1119c1a",8,1
"10",1,0,327,3,1,1,"1119c1a",9,1
"11",0,1,442,1,5,1,"1119c1a",10,1
"12",1,1,491,6,6,1,"1119c1a",11,1
"13",1,1,1405,3,3,1,"1119c1a",12,1
"14",0,0,742,2,2,1,"1119c1a",13,1
"15",-1,-1,0,6,6,1,"1119c1a",14,1
"16",1,1,324,5,5,1,"1119c1a",15,1
"17",0,1,616,1,2,1,"1119c1a",16,1
"18",1,1,407,4,4,1,"1119c1a",17,1
"19",0,1,311,4,1,1,"1119c1a",18,1
"20",1,0,159,3,1,1,"1119c1a",19,1
"21",1,0,504,1,5,1,"1119c1a",20,1
"22",0,1,406,1,6,1,"1119c1a",21,1
"23",1,1,434,1,1,1,"1119c1a",22,1
"24",1,1,327,6,6,1,"1119c1a",23,1
"25",0,1,817,1,2,1,"1119c1a",24,1
"26",1,1,728,1,1,1,"1119c1a",25,1
"27",1,0,486,3,1,1,"1119c1a",26,1
"28",0,0,559,2,2,1,"1119c1a",27,1
"29",1,0,412,4,1,1,"1119c1a",28,1
"30",1,1,426,4,4,1,"1119c1a",29,1
"31",0,0,1012,5,5,1,"1119c1a",30,1
"32",-1,-1,0,5,1,1,"1119c1a",31,1
"33",0,0,398,3,3,1,"1119c1a",32,1
"34",1,0,207,1,6,1,"1119c1a",33,1
"35",1,0,513,1,2,1,"1119c1a",34,1
"36",0,1,400,4,1,1,"1119c1a",35,1
"37",0,1,210,6,1,1,"1119c1a",36,1
"38",1,1,257,3,3,1,"1119c1a",37,1
"39",1,1,97,5,5,1,"1119c1a",38,1
"40",1,1,369,1,1,1,"1119c1a",39,1
"41",1,1,675,4,4,1,"1119c1a",40,1
"42",1,1,269,6,6,1,"1119c1a",41,1
"43",1,0,475,1,5,1,"1119c1a",42,1
"44",0,0,653,2,2,1,"1119c1a",43,1
"45",0,1,627,3,1,1,"1119c1a",44,1
"46",1,0,420,3,1,1,"1119c1a",45,1
"47",1,1,370,4,4,1,"1119c1a",46,1
"48",1,1,657,6,6,1,"1119c1a",47,1
"49",0,1,306,6,1,1,"1119c1a",48,1
"50",1,0,502,1,5,1,"1119c1a",49,1
"51",1,1,1248,3,3,1,"1119c1a",50,1
"52",1,1,160,2,2,1,"1119c1a",51,1
"53",1,0,528,2,1,1,"1119c1a",52,1
"54",0,0,1842,1,1,1,"1119c1a",53,1
"55",1,1,536,5,5,1,"1119c1a",54,1
"56",1,0,1043,4,1,1,"1119c1a",55,1
"57",1,1,424,2,2,1,"1119c1a",56,1
"58",1,1,393,6,6,1,"1119c1a",57,1
"59",1,0,433,2,1,1,"1119c1a",58,1
"60",0,1,618,1,5,1,"1119c1a",59,1
"61",1,1,258,4,4,1,"1119c1a",60,1
"62",0,1,585,1,3,1,"1119c1a",61,1
"63",1,1,446,5,5,1,"1119c1a",62,1
"64",1,0,517,1,6,1,"1119c1a",63,1
"65",1,0,356,1,4,1,"1119c1a",64,1
"66",1,1,613,1,1,1,"1119c1a",65,1
"67",1,1,763,3,3,1,"1119c1a",66,1
"68",1,1,437,4,4,1,"1119c1a",67,1
"69",1,1,1388,3,3,1,"1119c1a",68,1
"70",0,0,1164,6,6,1,"1119c1a",69,1
"71",1,0,317,1,4,1,"1119c1a",70,1
"72",0,1,470,1,6,1,"1119c1a",71,1
"73",1,0,1780,1,5,1,"1119c1a",72,1
"74",1,1,650,1,1,1,"1119c1a",73,1
"75",-1,-1,0,1,2,1,"1119c1a",74,1
"76",0,0,536,2,2,1,"1119c1a",75,1
"77",1,0,590,3,1,1,"1119c1a",76,1
"78",1,1,409,5,5,1,"1119c1a",77,1
"210",-1,0,1864,5,5,3,"13599c4",1,1
"310",-1,0,1457,1,1,3,"13599c4",2,1
"410",-1,-1,0,1,6,3,"13599c4",3,1
"510",-1,0,1304,2,2,3,"13599c4",4,1
"610",-1,0,1289,3,1,3,"13599c4",5,1
"710",-1,-1,0,6,6,3,"13599c4",6,1
"81",-1,0,1682,3,3,3,"13599c4",7,1
"91",-1,0,333,5,1,3,"13599c4",8,1
"101",-1,-1,0,4,4,3,"13599c4",9,1
"111",-1,0,1388,1,2,3,"13599c4",10,1
"121",-1,-1,0,4,1,3,"13599c4",11,1
"131",-1,-1,0,3,3,3,"13599c4",12,1
"141",-1,0,1953,6,6,3,"13599c4",13,1
"151",-1,-1,0,5,5,3,"13599c4",14,1
"161",-1,-1,0,1,2,3,"13599c4",15,1
"171",-1,-1,0,1,5,3,"13599c4",16,1
"181",-1,-1,0,4,4,3,"13599c4",17,1
"191",-1,0,1284,1,1,3,"13599c4",18,1
"201",-1,-1,0,4,1,3,"13599c4",19,1
"211",-1,-1,0,1,3,3,"13599c4",20,1
"221",-1,-1,0,6,1,3,"13599c4",21,1
"231",-1,-1,0,2,2,3,"13599c4",22,1
"241",-1,-1,0,2,2,3,"13599c4",23,1
"251",-1,-1,0,1,1,3,"13599c4",24,1
"261",-1,-1,0,1,5,3,"13599c4",25,1
