"","Gender","Age","Ethnicity","Race","SubID"
"1","M",30,"NHL","W","189e236"
"2","F",25,"NHL","W","1aeba69"
"3","M",31,"NHL","A","1596ba3"
"4","M",24,"HL","M","118e902"
"5","M",30,"NHL","W","1d735f8"
"6","M",26,"HL","W","1938b10"
"7","M",35,"NHL","W","156d4e2"
"8","F",27,"NHL","W","121f918"
"9","M",23,"NHL","W","1ada5da"
"10","M",24,"NHL","W","12150cd"
"11","F",30,"NHL","W","1b72de7"
"12","M",19,"HL","A","188486b"
"13","M",25,"NHL","W","1101347"
"14","F",31,"NHL","W","1138c52"
"15","F",27,"NHL","W","2fe65ce"
"16","M",19,"NHL","AA","1366b8a"
"17","M",33,"NHL","W","1aacf8e"
"18","M",21,"NHL","M","184ab04"
"19","M",24,"NHL","W","74caa1f"
"20","M",32,"NHL","W","0aa9e0d"
"21","F",33,"NHL","W","16acb41"
"22","M",34,"NHL","W","17f7ae6"
"23","M",29,"NHL","W","1dcaf6c"
"24","F",25,"NHL","W","1a3f553"
"25","M",23,"NHL","AA","1afeeab"
"26","F",26,"NHL","W","1399f07"
"27","F",31,"NHL","W","17e736d"
"28","M",20,"NHL","W","184d8a6"
"29","F",18,"NHL","A","1b41c00"
