"","Gender","Age","Ethnicity","Race","SubID"
"1","M",27,"NHL","W","174496e"
"2","F",25,"NHL","W","1756f5f"
"3","F",24,"NHL","W","172870b"
"4","F",32,"NHL","W","1e5ffee"
"5","M",18,"NHL","W","13a9af6"
"6","M",23,"NHL","M","13ef7b5"
"7","F",28,"NHL","W","137ef5e"
"8","M",33,"NHL","W","1849720"
"9","M",32,"HL","M","121d34a"
"10","F",32,"NHL","W","12a3ce7"
"11","F",26,"NHL","W","1a9c456"
"12","F",28,"NHL","W","107a571"
"13","F",24,"NHL","W","1016d1b"
"14","F",23,"NHL","W","12c2923"
"15","M",29,"NHL","W","6727592"
"16","M",21,"NHL","W","13ebe4b"
"17","M",20,"NHL","W","102c719"
"18","F",28,"NHL","W","18291b8"
"19","M",29,"NHL","W","1041b16"
"20","M",30,"NHL","W","1461fdf"
"21","F",27,"NHL","AI","120be16"
"22","M",22,"HL","O","1edbe50"
"23","M",31,"NHL","W","7b9562f"
"24","M",21,"NHL","W","1d950be"
"25","F",33,"NHL","W","1f08a1e"
"26","M",28,"HL","W","1ba0e63"
"27","M",26,"NHL","A","1549257"
