"","Gender","Age","Ethnicity","Race","SubID"
"1","M",19,"NHL","A","1f40cfc"
"2","F",31,"NHL","A","11a8b63"
"3","M",21,"HL","W","1539109"
"4","F",20,"NHL","W","1ffad93"
"5","M",19,"NHL","A","1f40cfc"
"6","F",21,"HL","W","1871443"
"7","M",27,"NHL","W","115453d"
"8","M",26,"NHL","A","1bec343"
"9","M",25,"NHL","W","1c8077b"
"10","M",25,"HL","O","1ad64d9"
"11","M",23,"NHL","W","1964762"
"12","F",34,"NHL","W","1f02bac"
"13","NA",32,"NHL","W","1ad1773"
"14","M",20,"NHL","W","19167e4"
"15","M",27,"NHL","A","1a05cf5"
"16","F",20,"NHL","A","1d817ba"
"17","M",29,"NHL","W","15c0100"
"18","M",22,"NHL","W","129148a"
"19","M",35,"NHL","A","1778ea1"
"20","F",30,"NHL","W","19449ac"
"21","M",26,"NHL","W","1fef5d8"
"22","F",29,"NHL","A","199188b"
"23","M",30,"HL","W","1d71a8c"
"24","F",31,"NHL","W","1bfb973"
"25","F",20,"NHL","W","120902c"
"26","F",23,"NHL","W","1e48ef3"
"27","M",23,"NHL","W","1091afd"
"28","F",22,"NHL","AA","13edd0d"
"29","F",23,"HL","O","1e9ea77"
"30","M",32,"NHL","W","1ded5f0"
"31","F",35,"NHL","W","1fda946"
"32","M",28,"NHL","W","1f49aed"
"33","F",24,"NHL","W","13598d1"
"34","F",23,"NHL","M","148ec2a"
"35","M",24,"NHL","W","163ec1e"
"36","M",25,"NHL","W","1ff0780"
"37","F",30,"NHL","W","1af353e"
"38","F",31,"NHL","W","1b34afa"
