"","Gender","Age","Ethnicity","Race","SubID"
"1","M",34,"NHL","W","156435d"
"2","M",27,"HL","W","1b87990"
"3","F",20,"NHL","W","171be3e"
"4","M",27,"NHL","W","161c7f1"
"5","F",30,"NHL","W","11fd9fc"
"6","M",27,"NHL","W","1be6c28"
"7","M",25,"NHL","W","10dc201"
"8","M",18,"NHL","W","1a2b142"
"9","M",28,"NHL","W","1023590"
"10","F",27,"NHL","M","19cabe6"
"11","F",26,"NHL","W","16f5e83"
"12","M",21,"NHL","A","1d16857"
"13","M",21,"NHL","W","161f2ad"
"14","M",28,"NA","M","15fff52"
"15","F",23,"NHL","AI","1aa2d11"
"16","F",26,"NHL","W","1590837"
"17","M",20,"NHL","W","13802e6"
"18","M",20,"NHL","W","127412f"
"19","M",30,"NHL","W","1f976bb"
"20","F",22,"NHL","W","1a699ad"
"21","M",19,"NHL","W","1614112"
"22","M",27,"NHL","A","141f4f2"
"23","F",29,"NHL","W","1e85858"
"24","F",21,"NHL","A","1565910"
"25","M",30,"HL","O","1ad8ef2"
"26","M",33,"NHL","W","121dd75"
"27","M",28,"NHL","W","c2241f7"
"28","M",24,"NHL","W","c3087cd"
"29","F",31,"NHL","AA","1f3ab34"
"30","M",30,"NHL","W","1add64f"
