"","Gender","Age","Ethnicity","Race","SubID"
"1","F",30,"NHL","W","1d9099a"
"2","F",21,"NHL","A","52a562b"
"3","M",26,"NHL","AA","1750722"
"4","F",27,"NHL","W","18f5a1c"
"5","F",24,"NHL","W","5875042"
"6","F",30,"HL","NA","1b05aaf"
"7","M",27,"NHL","W","1d9ed1f"
"8","M",NA,"NHL","A","18f22a5"
"9","F",19,"HL","O","1c10bc5"
"10","M",33,"NHL","W","1f8a514"
"11","M",31,"NHL","W","1cf889a"
"12","M",20,"NHL","W","13f3dab"
"13","F",22,"NA","NA","1a6fd8a"
"14","F",35,"NHL","W","1a01382"
"15","F",21,"NHL","A","155582e"
"16","M",31,"NHL","W","15595cf"
"17","F",27,"NHL","W","1bbb7f0"
"18","M",NA,"NHL","M","14a2759"
"19","M",28,"NHL","W","6b82a7d"
"20","F",27,"NHL","W","19b19bf"
"21","F",30,"NHL","W","16ea51f"
"22","F",27,"NHL","W","1b9e272"
"23","F",26,"NHL","AA","199e80c"
"24","M",35,"NHL","AA","1b74bbc"
"25","M",30,"NHL","W","17e71e4"
"26","M",35,"NHL","W","c8f4967"
"27","F",32,"NHL","AA","dfd6b65"
"28","F",28,"NHL","W","155b0b0"
"29","M",24,"NHL","W","11399cf"
