1,1,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
