"","keys","accuracy","rt","Fimg","Simg","subID","trialNum","run"
"1321",0,1,534,5,20,"sub04",12,6
"1421",0,1,270,9,21,"sub04",13,6
"1521",1,0,221,15,17,"sub04",14,6
"1621",0,1,149,18,15,"sub04",15,6
"1721",1,0,240,6,7,"sub04",16,6
"1821",0,1,266,12,10,"sub04",17,6
"1921",0,1,255,5,16,"sub04",18,6
"2021",0,1,307,14,1,"sub04",19,6
"2125",1,1,288,10,10,"sub04",20,6
"2223",0,1,272,6,8,"sub04",21,6
"2321",0,1,262,10,5,"sub04",22,6
"2421",0,1,513,17,12,"sub04",23,6
"2521",0,1,298,3,15,"sub04",24,6
"2621",0,1,373,21,4,"sub04",25,6
"2721",0,1,438,7,10,"sub04",26,6
"2821",1,0,304,9,8,"sub04",27,6
"2921",0,1,412,20,13,"sub04",28,6
"3021",0,1,262,6,1,"sub04",29,6
"3125",0,1,766,21,14,"sub04",30,6
"3223",0,1,285,7,3,"sub04",31,6
"3321",0,1,1144,11,21,"sub04",32,6
"3421",0,1,377,16,15,"sub04",33,6
"3521",0,1,255,1,20,"sub04",34,6
"3621",0,1,457,13,16,"sub04",35,6
"3721",0,1,448,15,13,"sub04",36,6
"3821",0,1,197,16,14,"sub04",37,6
"3921",0,1,327,7,15,"sub04",38,6
"4021",1,1,259,5,5,"sub04",39,6
"4125",0,1,220,17,1,"sub04",40,6
"4223",0,1,201,3,1,"sub04",41,6
"4321",0,1,51,7,1,"sub04",42,6
"4421",0,1,231,6,17,"sub04",43,6
"4521",0,1,295,20,6,"sub04",44,6
"4621",0,0,684,6,6,"sub04",45,6
"4721",0,1,258,14,5,"sub04",46,6
"4821",1,0,254,11,13,"sub04",47,6
"4921",1,1,304,3,3,"sub04",48,6
"5021",0,1,267,12,9,"sub04",49,6
"5125",1,0,291,18,17,"sub04",50,6
"5223",0,1,330,21,6,"sub04",51,6
"5321",0,1,756,12,19,"sub04",52,6
"5421",0,1,416,14,6,"sub04",53,6
"5521",0,1,239,11,2,"sub04",54,6
"5621",1,0,287,20,15,"sub04",55,6
"5721",0,1,92,10,14,"sub04",56,6
"5821",1,1,274,20,20,"sub04",57,6
"5921",0,1,689,2,7,"sub04",58,6
"6021",0,1,660,12,2,"sub04",59,6
"6125",0,1,952,20,11,"sub04",60,6
"6223",0,1,383,7,17,"sub04",61,6
"6321",1,1,308,15,15,"sub04",62,6
"6421",1,0,215,18,16,"sub04",63,6
"6521",0,1,270,13,3,"sub04",64,6
"6621",0,1,329,21,18,"sub04",65,6
"6721",1,0,223,11,1,"sub04",66,6
"6821",0,1,283,14,8,"sub04",67,6
"6921",0,1,296,18,11,"sub04",68,6
"7021",0,1,323,12,20,"sub04",69,6
"7125",0,1,257,1,21,"sub04",70,6
"7222",0,1,617,9,14,"sub04",71,6
"7321",1,0,344,16,17,"sub04",72,6
"7421",0,1,37,1,10,"sub04",73,6
"7521",0,1,417,8,16,"sub04",74,6
"7621",0,1,192,11,8,"sub04",75,6
"7721",0,1,269,13,1,"sub04",76,6
"7821",1,0,339,16,9,"sub04",77,6
"2106",0,1,53,10,1,"sub03",1,6
"3106",0,1,122,17,7,"sub03",2,6
"4106",0,1,139,4,7,"sub03",3,6
"5106",0,0,1,13,13,"sub03",4,6
"6106",0,1,219,6,16,"sub03",5,6
"797",0,1,80,16,17,"sub03",6,6
"822",0,1,190,3,19,"sub03",7,6
"922",0,1,49,9,10,"sub03",8,6
"1022",0,1,124,8,10,"sub03",9,6
"1122",1,1,87,9,9,"sub03",10,6
"1222",0,1,0,21,10,"sub03",11,6
"1322",0,1,236,1,12,"sub03",12,6
"1422",0,1,255,14,20,"sub03",13,6
"1522",0,1,72,15,12,"sub03",14,6
"1622",0,1,76,11,19,"sub03",15,6
"1722",0,1,0,15,5,"sub03",16,6
"1822",0,1,36,21,20,"sub03",17,6
"1922",0,1,198,20,13,"sub03",18,6
"2022",0,1,135,1,11,"sub03",19,6
"2126",0,1,157,11,12,"sub03",20,6
"2224",1,0,15,20,19,"sub03",21,6
"2322",0,0,111,18,18,"sub03",22,6
"2422",0,1,42,14,10,"sub03",23,6
"2522",0,1,10,19,14,"sub03",24,6
"2622",0,1,53,17,19,"sub03",25,6
"2722",0,1,303,13,3,"sub03",26,6
"2822",0,1,92,10,18,"sub03",27,6
"2922",0,1,3,2,1,"sub03",28,6
"3022",0,1,317,11,16,"sub03",29,6
"3126",0,1,25,19,1,"sub03",30,6
"3224",0,1,21,7,19,"sub03",31,6
"3322",0,1,3,15,6,"sub03",32,6
"3422",0,1,66,9,14,"sub03",33,6
"3522",0,1,10,9,11,"sub03",34,6
"3622",0,1,387,1,17,"sub03",35,6
"3722",0,1,175,3,6,"sub03",36,6
"3822",0,1,0,12,10,"sub03",37,6
"3922",0,1,29,20,5,"sub03",38,6
"4022",0,0,16,6,6,"sub03",39,6
"4126",0,1,272,11,14,"sub03",40,6
"4224",0,1,157,2,5,"sub03",41,6
"4322",0,1,375,17,4,"sub03",42,6
"4422",0,1,218,8,5,"sub03",43,6
"4522",0,1,91,5,6,"sub03",44,6
"4622",0,1,173,7,21,"sub03",45,6
"4722",0,1,29,4,3,"sub03",46,6
"4822",0,1,119,9,15,"sub03",47,6
"4922",0,1,34,8,20,"sub03",48,6
"5022",0,1,33,6,2,"sub03",49,6
"5126",0,1,124,9,12,"sub03",50,6
"5224",0,1,1,8,4,"sub03",51,6
"5322",0,1,8,13,10,"sub03",52,6
"5422",0,1,16,15,20,"sub03",53,6
"5522",1,1,20,8,8,"sub03",54,6
"5622",0,1,32,3,18,"sub03",55,6
"5722",0,1,34,5,18,"sub03",56,6
"5822",0,1,72,12,13,"sub03",57,6
"5922",1,0,57,1,15,"sub03",58,6
"6022",0,1,292,19,5,"sub03",59,6
"6126",0,1,185,3,15,"sub03",60,6
"6224",0,1,37,13,14,"sub03",61,6
"6322",0,1,115,4,5,"sub03",62,6
"6422",0,1,128,14,15,"sub03",63,6
"6522",0,1,22,8,12,"sub03",64,6
"6622",0,1,12,14,6,"sub03",65,6
"6722",0,1,187,18,6,"sub03",66,6
"6822",0,1,32,5,3,"sub03",67,6
"6922",0,0,123,7,7,"sub03",68,6
"7022",0,0,95,3,3,"sub03",69,6
"7126",0,1,201,9,19,"sub03",70,6
"7223",0,1,143,20,4,"sub03",71,6
"7322",0,1,88,5,12,"sub03",72,6
"7422",0,1,0,20,11,"sub03",73,6
"7522",0,1,6,15,2,"sub03",74,6
"7622",0,1,83,20,12,"sub03",75,6
"7722",0,1,489,6,10,"sub03",76,6
"7822",0,1,50,9,17,"sub03",77,6
"2107",0,1,1948,9,10,"sub02",1,6
"3107",0,1,1837,10,6,"sub02",2,6
"4107",0,1,1805,1,12,"sub02",3,6
"5107",0,1,1702,3,8,"sub02",4,6
"6107",0,1,817,13,14,"sub02",5,6
"798",0,1,1045,9,14,"sub02",6,6
"823",0,0,954,17,17,"sub02",7,6
"923",0,1,1333,16,13,"sub02",8,6
"1023",0,1,1089,21,5,"sub02",9,6
"1123",0,1,1780,16,4,"sub02",10,6
"1223",0,1,494,4,3,"sub02",11,6
"1323",0,1,1274,9,2,"sub02",12,6
"1423",0,1,1743,19,7,"sub02",13,6
"1523",0,1,1409,7,5,"sub02",14,6
"1623",0,1,967,14,19,"sub02",15,6
"1723",0,1,2117,21,16,"sub02",16,6
"1823",0,1,1228,18,21,"sub02",17,6
"1923",0,1,1098,4,17,"sub02",18,6
"2023",0,1,1064,3,2,"sub02",19,6
"2127",0,1,551,10,17,"sub02",20,6
"2225",0,1,1491,1,18,"sub02",21,6
"2323",0,1,907,12,18,"sub02",22,6
"2423",0,1,2019,10,16,"sub02",23,6
"2523",0,1,2398,11,16,"sub02",24,6
"2623",0,1,1193,21,10,"sub02",25,6
"2723",0,1,1323,12,11,"sub02",26,6
"2823",0,1,631,16,20,"sub02",27,6
"2923",0,1,89,15,18,"sub02",28,6
"3023",0,1,2487,14,3,"sub02",29,6
"3127",0,1,532,9,4,"sub02",30,6
"3225",0,0,651,9,9,"sub02",31,6
"3323",0,1,309,12,2,"sub02",32,6
"3423",0,1,345,12,9,"sub02",33,6
"3523",0,1,558,13,7,"sub02",34,6
"3623",0,1,339,3,12,"sub02",35,6
"3723",0,1,126,15,3,"sub02",36,6
"3823",0,1,1689,9,1,"sub02",37,6
"3923",0,1,1508,20,3,"sub02",38,6
"4023",0,0,522,5,5,"sub02",39,6
"4127",0,0,1454,11,11,"sub02",40,6
"4225",0,1,906,6,5,"sub02",41,6
"4323",-1,-1,0,16,17,"sub02",42,6
"4423",0,1,1367,19,17,"sub02",43,6
"4523",0,1,353,4,1,"sub02",44,6
"4623",0,1,1173,10,3,"sub02",45,6
"4723",0,1,1022,3,13,"sub02",46,6
"4823",0,1,774,20,4,"sub02",47,6
"4923",0,0,832,2,2,"sub02",48,6
"5023",1,0,800,9,8,"sub02",49,6
"5127",0,1,521,17,7,"sub02",50,6
"5225",0,1,430,5,1,"sub02",51,6
"5323",0,1,879,14,2,"sub02",52,6
"5423",0,1,351,20,14,"sub02",53,6
"5523",0,1,460,11,18,"sub02",54,6
"5623",0,1,414,7,12,"sub02",55,6
"5723",0,1,931,7,4,"sub02",56,6
"5823",0,1,282,15,2,"sub02",57,6
"5923",0,1,2187,11,7,"sub02",58,6
"6023",0,1,1403,13,1,"sub02",59,6
"6127",0,1,359,8,16,"sub02",60,6
"6225",0,1,974,14,7,"sub02",61,6
"6323",0,1,587,19,13,"sub02",62,6
"6423",0,1,575,8,4,"sub02",63,6
"6523",0,1,911,19,18,"sub02",64,6
"6623",0,0,663,12,12,"sub02",65,6
"6723",0,0,989,14,14,"sub02",66,6
"6823",0,1,1368,14,6,"sub02",67,6
"6923",0,1,991,11,14,"sub02",68,6
"7023",0,1,1370,21,7,"sub02",69,6
"7127",0,1,2212,5,18,"sub02",70,6
"7224",-1,-1,0,17,21,"sub02",71,6
"7323",0,1,890,7,15,"sub02",72,6
"7423",-1,-1,0,13,11,"sub02",73,6
"7523",0,1,1424,12,8,"sub02",74,6
"7623",0,1,2308,16,9,"sub02",75,6
"7723",0,1,986,12,17,"sub02",76,6
"7823",0,1,864,13,9,"sub02",77,6
