"","keys","accuracy","rt","Fimg","Simg","subID","trialNum","run"
"193",0,1,599,19,13,"sub02",18,1
"203",0,1,591,11,19,"sub02",19,1
"215",0,1,504,21,5,"sub02",20,1
"223",0,1,433,17,7,"sub02",21,1
"233",0,1,583,21,16,"sub02",22,1
"243",0,0,602,20,20,"sub02",23,1
"253",0,1,735,14,13,"sub02",24,1
"263",0,1,144,17,2,"sub02",25,1
"273",0,1,475,21,4,"sub02",26,1
"283",0,1,533,16,17,"sub02",27,1
"293",0,1,374,11,10,"sub02",28,1
"303",0,1,316,10,7,"sub02",29,1
"315",0,0,288,11,11,"sub02",30,1
"323",0,0,604,14,14,"sub02",31,1
"333",1,0,760,20,7,"sub02",32,1
"343",0,1,692,2,20,"sub02",33,1
"353",0,1,2328,1,19,"sub02",34,1
"363",0,1,698,4,2,"sub02",35,1
"373",0,1,603,4,14,"sub02",36,1
"383",1,0,500,12,13,"sub02",37,1
"393",0,1,436,13,20,"sub02",38,1
"403",0,1,684,2,8,"sub02",39,1
"415",0,1,591,7,6,"sub02",40,1
"423",0,1,659,17,10,"sub02",41,1
"433",1,0,559,19,2,"sub02",42,1
"443",-1,-1,0,9,8,"sub02",43,1
"453",0,1,376,15,3,"sub02",44,1
"463",0,1,668,6,10,"sub02",45,1
"473",0,1,685,17,5,"sub02",46,1
"483",0,1,1377,10,15,"sub02",47,1
"493",0,1,445,8,19,"sub02",48,1
"503",1,1,1364,4,4,"sub02",49,1
"515",1,0,575,14,18,"sub02",50,1
"523",0,1,574,12,5,"sub02",51,1
"533",1,0,345,1,16,"sub02",52,1
"543",0,1,674,21,9,"sub02",53,1
"553",0,1,362,15,18,"sub02",54,1
"563",0,1,753,19,7,"sub02",55,1
"573",0,1,406,10,12,"sub02",56,1
"583",0,1,807,9,13,"sub02",57,1
"593",0,1,839,18,12,"sub02",58,1
"603",0,1,342,15,4,"sub02",59,1
"615",0,1,385,17,15,"sub02",60,1
"623",0,1,389,1,8,"sub02",61,1
"633",0,1,734,4,3,"sub02",62,1
"643",0,1,734,1,15,"sub02",63,1
"653",0,1,507,6,19,"sub02",64,1
"663",0,1,530,9,17,"sub02",65,1
"673",0,1,362,21,8,"sub02",66,1
"683",0,1,315,16,4,"sub02",67,1
"693",0,1,636,15,16,"sub02",68,1
"703",0,1,370,7,12,"sub02",69,1
"714",0,0,554,8,8,"sub02",70,1
"723",1,0,496,6,16,"sub02",71,1
"733",0,1,560,8,18,"sub02",72,1
"743",0,1,121,20,3,"sub02",73,1
"753",0,1,275,1,21,"sub02",74,1
"763",1,0,118,9,1,"sub02",75,1
"773",0,1,19,19,16,"sub02",76,1
"783",0,1,551,18,13,"sub02",77,1
"216",0,0,515,2,2,"sub01",1,2
"316",0,1,403,16,9,"sub01",2,2
"416",1,1,576,8,8,"sub01",3,2
"516",0,1,344,4,21,"sub01",4,2
"616",0,1,470,13,1,"sub01",5,2
"715",0,1,314,17,21,"sub01",6,2
"84",0,1,562,20,15,"sub01",7,2
"94",0,1,354,10,11,"sub01",8,2
"104",0,1,629,14,6,"sub01",9,2
"114",1,0,314,10,9,"sub01",10,2
"124",0,1,674,6,5,"sub01",11,2
"134",1,1,312,18,18,"sub01",12,2
"144",0,1,363,18,4,"sub01",13,2
"154",0,0,519,7,7,"sub01",14,2
"164",0,1,496,4,20,"sub01",15,2
"174",0,1,387,14,3,"sub01",16,2
"184",0,1,451,6,2,"sub01",17,2
"194",0,0,299,5,5,"sub01",18,2
"204",1,1,355,17,17,"sub01",19,2
"217",0,1,320,15,5,"sub01",20,2
"224",0,1,304,15,10,"sub01",21,2
"234",1,1,733,15,15,"sub01",22,2
"244",0,1,316,20,9,"sub01",23,2
"254",0,1,772,12,5,"sub01",24,2
"264",1,0,342,16,19,"sub01",25,2
"274",1,0,352,5,18,"sub01",26,2
"284",0,1,293,17,15,"sub01",27,2
"294",0,1,386,7,14,"sub01",28,2
"304",0,1,377,20,10,"sub01",29,2
"317",1,0,317,16,17,"sub01",30,2
"324",0,1,906,19,6,"sub01",31,2
"334",0,1,428,7,16,"sub01",32,2
"344",1,0,307,19,20,"sub01",33,2
"354",0,1,509,5,7,"sub01",34,2
"364",0,1,392,12,16,"sub01",35,2
"374",1,1,284,20,20,"sub01",36,2
"384",0,1,856,19,21,"sub01",37,2
"394",0,1,314,21,3,"sub01",38,2
"404",0,1,300,20,12,"sub01",39,2
"417",0,1,328,12,21,"sub01",40,2
"424",0,1,1677,21,18,"sub01",41,2
"434",0,1,2094,18,14,"sub01",42,2
"444",0,1,2125,6,7,"sub01",43,2
"454",0,1,1907,8,1,"sub01",44,2
"464",0,1,2479,5,9,"sub01",45,2
"474",1,1,2492,21,21,"sub01",46,2
"484",0,1,2483,2,13,"sub01",47,2
"494",0,1,476,14,16,"sub01",48,2
"504",0,1,465,20,3,"sub01",49,2
"517",0,1,359,9,19,"sub01",50,2
"524",1,1,902,14,14,"sub01",51,2
"534",-1,-1,0,15,9,"sub01",52,2
"544",0,1,318,13,20,"sub01",53,2
"554",0,1,467,11,6,"sub01",54,2
"564",0,1,583,10,2,"sub01",55,2
"574",0,1,379,18,19,"sub01",56,2
"584",0,1,444,12,4,"sub01",57,2
"594",1,1,298,4,4,"sub01",58,2
"604",0,1,339,17,4,"sub01",59,2
"617",1,1,914,16,16,"sub01",60,2
"624",1,1,240,10,10,"sub01",61,2
"634",0,1,497,14,20,"sub01",62,2
"644",0,1,243,1,4,"sub01",63,2
"654",0,1,464,15,12,"sub01",64,2
"664",0,1,206,11,19,"sub01",65,2
"674",0,1,333,16,11,"sub01",66,2
"684",0,1,514,12,2,"sub01",67,2
"694",0,1,353,14,11,"sub01",68,2
"704",0,1,2486,16,2,"sub01",69,2
"716",0,1,2496,21,2,"sub01",70,2
"724",0,1,516,12,7,"sub01",71,2
"734",0,1,2293,4,8,"sub01",72,2
"744",0,1,417,8,12,"sub01",73,2
"754",0,1,392,16,4,"sub01",74,2
"764",0,1,508,8,10,"sub01",75,2
"774",1,1,293,6,6,"sub01",76,2
"784",0,1,751,8,5,"sub01",77,2
"218",1,1,298,12,12,"sub04",1,2
"318",0,1,505,19,12,"sub04",2,2
"418",0,1,274,9,3,"sub04",3,2
"518",0,1,297,7,16,"sub04",4,2
"618",0,1,259,18,21,"sub04",5,2
"717",0,1,280,7,3,"sub04",6,2
"85",1,1,262,5,5,"sub04",7,2
"95",0,1,235,11,2,"sub04",8,2
"105",0,1,283,16,4,"sub04",9,2
"115",0,1,278,14,13,"sub04",10,2
"125",0,1,419,5,6,"sub04",11,2
"135",0,1,271,14,16,"sub04",12,2
"145",0,0,261,1,1,"sub04",13,2
"155",0,1,404,3,21,"sub04",14,2
"165",0,1,341,16,6,"sub04",15,2
"175",1,0,345,13,20,"sub04",16,2
"185",0,1,536,10,16,"sub04",17,2
"195",0,1,431,8,6,"sub04",18,2
"205",0,1,279,19,15,"sub04",19,2
"219",0,1,354,21,5,"sub04",20,2
"225",0,1,443,20,8,"sub04",21,2
"235",0,1,305,10,5,"sub04",22,2
"245",0,1,341,13,1,"sub04",23,2
"255",0,1,413,11,19,"sub04",24,2
"265",0,1,315,20,9,"sub04",25,2
"275",0,1,409,7,8,"sub04",26,2
"285",1,1,422,9,9,"sub04",27,2
"295",0,1,327,18,7,"sub04",28,2
"305",0,1,493,19,14,"sub04",29,2
"319",0,1,610,4,11,"sub04",30,2
"325",1,0,266,4,7,"sub04",31,2
"335",0,1,342,2,6,"sub04",32,2
"345",0,1,323,9,7,"sub04",33,2
"355",0,1,323,19,1,"sub04",34,2
"365",0,1,642,2,9,"sub04",35,2
"375",0,1,389,6,3,"sub04",36,2
"385",0,1,374,14,2,"sub04",37,2
"395",0,1,419,9,6,"sub04",38,2
"405",0,1,292,18,3,"sub04",39,2
"419",1,0,590,11,12,"sub04",40,2
"425",0,1,363,2,20,"sub04",41,2
"435",1,0,348,4,5,"sub04",42,2
"445",0,1,297,8,1,"sub04",43,2
"455",0,1,232,20,12,"sub04",44,2
"465",1,0,276,13,12,"sub04",45,2
"475",0,1,293,6,12,"sub04",46,2
"485",0,1,309,9,17,"sub04",47,2
"495",1,0,438,15,16,"sub04",48,2
"505",0,1,345,19,9,"sub04",49,2
"519",1,0,279,7,6,"sub04",50,2
"525",0,1,272,8,2,"sub04",51,2
"535",1,1,244,16,16,"sub04",52,2
"545",0,1,399,15,14,"sub04",53,2
"555",1,0,374,17,18,"sub04",54,2
"565",1,0,308,1,2,"sub04",55,2
"575",0,1,297,5,1,"sub04",56,2
"585",0,1,376,17,3,"sub04",57,2
"595",1,0,240,16,1,"sub04",58,2
"605",0,1,289,16,5,"sub04",59,2
"619",0,1,531,8,5,"sub04",60,2
"625",0,1,354,12,5,"sub04",61,2
"635",1,0,352,9,16,"sub04",62,2
"645",0,1,339,12,7,"sub04",63,2
"655",0,1,453,21,2,"sub04",64,2
"665",0,1,476,15,4,"sub04",65,2
"675",0,1,1078,18,20,"sub04",66,2
"685",0,1,273,14,8,"sub04",67,2
"695",0,0,300,21,21,"sub04",68,2
"705",0,1,330,1,11,"sub04",69,2
"718",0,1,289,2,19,"sub04",70,2
"725",0,1,367,8,13,"sub04",71,2
"735",0,1,550,13,18,"sub04",72,2
"745",0,1,256,9,18,"sub04",73,2
"755",1,0,249,16,17,"sub04",74,2
"765",0,1,323,8,3,"sub04",75,2
"775",0,1,265,10,7,"sub04",76,2
"785",0,1,409,6,18,"sub04",77,2
"220",0,1,258,10,17,"sub03",1,2
"320",0,1,206,10,14,"sub03",2,2
"420",0,1,201,4,6,"sub03",3,2
"520",0,1,229,5,10,"sub03",4,2
"620",0,1,77,2,16,"sub03",5,2
"719",0,1,228,19,8,"sub03",6,2
"86",0,1,83,4,20,"sub03",7,2
"96",0,1,179,20,12,"sub03",8,2
"106",0,1,195,7,10,"sub03",9,2
"116",1,0,40,15,19,"sub03",10,2
"126",0,1,166,15,9,"sub03",11,2
"136",0,1,29,1,13,"sub03",12,2
"146",0,1,373,4,10,"sub03",13,2
"156",0,1,76,2,9,"sub03",14,2
"166",0,1,148,21,12,"sub03",15,2
"176",1,1,0,8,8,"sub03",16,2
"186",0,1,202,7,14,"sub03",17,2
"196",0,1,73,16,6,"sub03",18,2
"206",0,1,323,3,9,"sub03",19,2
"2110",0,1,220,20,13,"sub03",20,2
"226",0,1,213,14,17,"sub03",21,2
"236",0,1,68,2,18,"sub03",22,2
"246",0,1,140,12,3,"sub03",23,2
"256",0,1,158,14,16,"sub03",24,2
"266",0,1,228,21,2,"sub03",25,2
"276",0,1,109,17,12,"sub03",26,2
"286",0,1,119,13,7,"sub03",27,2
"296",0,1,411,2,7,"sub03",28,2
"306",0,1,115,10,8,"sub03",29,2
"3110",0,1,179,21,14,"sub03",30,2
"326",1,1,20,19,19,"sub03",31,2
"336",0,1,261,18,20,"sub03",32,2
"346",0,1,26,10,9,"sub03",33,2
"356",0,1,121,20,5,"sub03",34,2
"366",0,0,345,3,3,"sub03",35,2
"376",0,1,11,1,14,"sub03",36,2
"386",0,1,140,5,12,"sub03",37,2
"396",0,1,35,14,5,"sub03",38,2
"406",0,1,74,17,13,"sub03",39,2
"4110",0,1,22,3,11,"sub03",40,2
"426",0,1,159,12,4,"sub03",41,2
"436",0,1,321,19,16,"sub03",42,2
"446",0,1,44,1,10,"sub03",43,2
"456",0,1,228,2,19,"sub03",44,2
"466",0,1,188,20,6,"sub03",45,2
"476",0,1,184,2,10,"sub03",46,2
"486",0,1,140,5,11,"sub03",47,2
"496",0,1,217,7,21,"sub03",48,2
"506",0,1,205,7,9,"sub03",49,2
"5110",0,1,206,17,2,"sub03",50,2
"526",0,1,240,4,17,"sub03",51,2
"536",0,1,201,6,9,"sub03",52,2
"546",0,1,58,7,17,"sub03",53,2
"556",0,1,140,4,13,"sub03",54,2
"566",0,1,84,15,8,"sub03",55,2
"576",0,1,27,4,1,"sub03",56,2
"586",0,1,58,18,16,"sub03",57,2
"596",0,1,113,10,20,"sub03",58,2
"606",0,1,41,13,12,"sub03",59,2
"6110",0,1,95,18,10,"sub03",60,2
"626",0,1,149,21,17,"sub03",61,2
"636",0,1,29,3,14,"sub03",62,2
"646",0,1,202,11,20,"sub03",63,2
"656",1,1,30,14,14,"sub03",64,2
"666",0,1,286,14,18,"sub03",65,2
"676",1,0,61,13,14,"sub03",66,2
"686",0,1,425,3,13,"sub03",67,2
"696",0,1,109,3,1,"sub03",68,2
"706",0,1,109,8,7,"sub03",69,2
"7110",0,1,116,4,18,"sub03",70,2
"726",0,1,81,15,21,"sub03",71,2
"736",0,0,52,6,6,"sub03",72,2
"746",0,1,76,17,16,"sub03",73,2
"756",0,1,152,11,16,"sub03",74,2
"766",0,1,13,3,8,"sub03",75,2
"776",0,1,105,10,6,"sub03",76,2
"786",0,1,35,14,19,"sub03",77,2
"227",0,1,432,12,19,"sub02",1,2
"327",0,1,513,20,15,"sub02",2,2
"427",0,1,597,11,1,"sub02",3,2
"527",0,1,600,16,5,"sub02",4,2
"627",0,1,413,15,2,"sub02",5,2
"720",0,1,558,17,19,"sub02",6,2
"87",0,1,1792,21,17,"sub02",7,2
"97",0,1,616,7,3,"sub02",8,2
"107",0,1,441,5,18,"sub02",9,2
"117",0,1,762,15,6,"sub02",10,2
"127",0,1,416,2,14,"sub02",11,2
"137",0,1,342,7,4,"sub02",12,2
"147",0,0,1547,16,16,"sub02",13,2
"157",-1,-1,0,13,7,"sub02",14,2
"167",0,1,538,8,3,"sub02",15,2
"177",0,1,370,16,7,"sub02",16,2
"187",0,1,336,13,11,"sub02",17,2
"197",-1,-1,0,10,8,"sub02",18,2
"207",1,0,343,3,1,"sub02",19,2
"2111",0,1,430,17,11,"sub02",20,2
"228",0,1,366,3,13,"sub02",21,2
"237",0,1,982,4,9,"sub02",22,2
"247",0,1,428,17,3,"sub02",23,2
"257",0,1,665,18,7,"sub02",24,2
"267",0,1,420,5,3,"sub02",25,2
"277",0,1,516,21,20,"sub02",26,2
"287",0,1,383,11,4,"sub02",27,2
"297",0,1,636,21,14,"sub02",28,2
"307",0,1,1692,9,19,"sub02",29,2
"3111",0,1,438,19,21,"sub02",30,2
"328",0,1,395,14,17,"sub02",31,2
"337",0,1,670,20,1,"sub02",32,2
"347",-1,-1,0,18,21,"sub02",33,2
"357",-1,0,2036,2,10,"sub02",34,2
"367",0,1,693,10,19,"sub02",35,2
"377",0,1,761,10,5,"sub02",36,2
"387",0,1,428,4,5,"sub02",37,2
"397",0,1,566,21,13,"sub02",38,2
"407",-1,-1,0,1,10,"sub02",39,2
"4111",0,1,391,20,9,"sub02",40,2
"428",0,1,577,14,15,"sub02",41,2
"437",0,1,598,12,15,"sub02",42,2
"447",0,1,598,17,6,"sub02",43,2
"457",0,0,937,7,7,"sub02",44,2
"467",0,1,1160,14,9,"sub02",45,2
"477",0,1,910,12,17,"sub02",46,2
"487",0,1,681,8,4,"sub02",47,2
"497",0,1,409,8,5,"sub02",48,2
"507",0,0,2032,2,2,"sub02",49,2
"5111",0,1,679,8,11,"sub02",50,2
"528",0,1,361,5,15,"sub02",51,2
"537",0,1,671,14,12,"sub02",52,2
"547",0,1,392,9,2,"sub02",53,2
"557",0,1,935,1,18,"sub02",54,2
"567",0,0,475,1,1,"sub02",55,2
"577",0,1,587,11,14,"sub02",56,2
"587",0,1,964,14,7,"sub02",57,2
"597",0,1,426,16,8,"sub02",58,2
"607",0,1,1978,20,10,"sub02",59,2
"6111",0,1,658,18,6,"sub02",60,2
"628",0,1,641,8,13,"sub02",61,2
"637",0,1,664,12,6,"sub02",62,2
"647",0,1,726,2,7,"sub02",63,2
"657",0,0,947,9,9,"sub02",64,2
"667",0,1,339,21,10,"sub02",65,2
"677",0,0,643,10,10,"sub02",66,2
"687",0,1,756,10,13,"sub02",67,2
"697",0,1,418,7,5,"sub02",68,2
"707",0,1,1061,1,12,"sub02",69,2
"7111",0,1,1144,16,18,"sub02",70,2
"727",0,1,338,17,1,"sub02",71,2
"737",0,1,389,1,6,"sub02",72,2
"747",0,1,1324,14,16,"sub02",73,2
"757",0,0,637,17,17,"sub02",74,2
"767",0,1,539,8,7,"sub02",75,2
"777",0,1,2135,9,6,"sub02",76,2
"787",0,1,1219,18,2,"sub02",77,2
"229",0,1,464,4,19,"sub01",1,3
"329",0,1,623,5,21,"sub01",2,3
"429",0,1,354,13,9,"sub01",3,3
"529",0,1,260,6,15,"sub01",4,3
"629",0,1,777,5,1,"sub01",5,3
"728",0,1,52,16,18,"sub01",6,3
"88",1,1,232,19,19,"sub01",7,3
"98",0,1,437,11,7,"sub01",8,3
"108",0,1,554,11,17,"sub01",9,3
"118",0,1,500,11,21,"sub01",10,3
"128",0,1,466,13,16,"sub01",11,3
"138",0,1,559,11,18,"sub01",12,3
"148",1,0,412,3,6,"sub01",13,3
"158",0,1,286,9,8,"sub01",14,3
"168",0,1,1457,9,17,"sub01",15,3
"178",0,1,390,18,3,"sub01",16,3
"188",0,1,565,2,15,"sub01",17,3
"198",0,1,438,14,5,"sub01",18,3
"208",0,1,857,13,7,"sub01",19,3
"2112",0,1,1761,21,16,"sub01",20,3
"2210",0,1,643,4,13,"sub01",21,3
"238",0,1,331,9,2,"sub01",22,3
"248",0,1,1153,10,17,"sub01",23,3
"258",0,1,401,21,10,"sub01",24,3
"268",0,1,985,19,2,"sub01",25,3
"278",1,1,327,13,13,"sub01",26,3
"288",0,1,491,17,19,"sub01",27,3
"298",0,1,594,2,3,"sub01",28,3
"308",0,1,1767,15,4,"sub01",29,3
"3112",0,1,754,19,12,"sub01",30,3
"3210",0,1,798,21,1,"sub01",31,3
"338",0,1,567,10,19,"sub01",32,3
"348",0,1,891,9,21,"sub01",33,3
"358",1,0,1019,21,8,"sub01",34,3
"368",0,1,705,14,13,"sub01",35,3
"378",0,1,679,7,1,"sub01",36,3
"388",0,1,527,5,13,"sub01",37,3
"398",0,1,457,2,8,"sub01",38,3
"408",0,1,629,20,6,"sub01",39,3
"4112",0,1,455,3,8,"sub01",40,3
"4210",0,1,1376,15,16,"sub01",41,3
"438",0,1,1027,9,14,"sub01",42,3
"448",0,1,504,19,3,"sub01",43,3
"458",0,1,773,11,4,"sub01",44,3
"468",0,1,462,8,20,"sub01",45,3
"478",0,1,251,7,8,"sub01",46,3
"488",0,1,744,14,8,"sub01",47,3
"498",0,1,2471,5,16,"sub01",48,3
"508",0,1,2166,17,18,"sub01",49,3
"5112",0,1,392,2,1,"sub01",50,3
"5210",0,1,320,21,20,"sub01",51,3
"538",0,1,2027,8,18,"sub01",52,3
"548",0,1,431,1,3,"sub01",53,3
"558",0,1,286,18,15,"sub01",54,3
"568",0,1,362,4,3,"sub01",55,3
"578",0,1,298,5,4,"sub01",56,3
"588",0,1,2491,11,9,"sub01",57,3
"598",0,1,294,8,17,"sub01",58,3
"608",0,1,334,6,10,"sub01",59,3
"6112",0,1,468,13,15,"sub01",60,3
"6210",0,1,509,18,12,"sub01",61,3
"638",0,1,508,4,14,"sub01",62,3
"648",0,1,269,16,8,"sub01",63,3
"658",0,1,2475,15,7,"sub01",64,3
"668",0,1,312,6,13,"sub01",65,3
"678",0,1,2479,10,3,"sub01",66,3
"688",0,1,2481,11,2,"sub01",67,3
"698",0,1,2500,15,1,"sub01",68,3
"708",0,1,1531,2,14,"sub01",69,3
"7112",0,1,2496,3,15,"sub01",70,3
"729",0,1,2489,10,7,"sub01",71,3
"738",0,1,717,20,1,"sub01",72,3
"748",0,1,963,13,10,"sub01",73,3
"758",0,1,290,10,1,"sub01",74,3
"768",0,1,2479,18,1,"sub01",75,3
"778",0,1,1187,6,12,"sub01",76,3
"788",0,1,1502,13,8,"sub01",77,3
"230",0,1,246,8,19,"sub04",1,3
"330",0,1,283,13,2,"sub04",2,3
"430",0,1,337,14,18,"sub04",3,3
"530",1,0,286,20,16,"sub04",4,3
"630",1,0,258,5,3,"sub04",5,3
"730",1,0,304,1,18,"sub04",6,3
"89",0,1,243,20,1,"sub04",7,3
"99",0,1,192,12,15,"sub04",8,3
"109",0,1,335,9,13,"sub04",9,3
"119",0,1,210,4,20,"sub04",10,3
"129",0,1,592,17,20,"sub04",11,3
"139",1,1,470,3,3,"sub04",12,3
"149",0,1,583,19,10,"sub04",13,3
"159",1,0,272,11,13,"sub04",14,3
"169",0,0,268,17,17,"sub04",15,3
"179",0,1,247,9,15,"sub04",16,3
"189",0,1,333,17,12,"sub04",17,3
"199",0,1,382,16,12,"sub04",18,3
"209",1,0,380,12,14,"sub04",19,3
"2113",0,1,271,4,18,"sub04",20,3
"2211",1,0,281,2,3,"sub04",21,3
"239",0,1,660,21,9,"sub04",22,3
"249",0,1,556,19,13,"sub04",23,3
"259",1,1,304,11,11,"sub04",24,3
"269",0,1,306,11,6,"sub04",25,3
"279",0,1,412,21,13,"sub04",26,3
"289",0,1,417,9,14,"sub04",27,3
"299",0,1,288,11,15,"sub04",28,3
"309",0,1,289,11,21,"sub04",29,3
"3113",0,1,333,17,13,"sub04",30,3
"3211",0,1,259,4,2,"sub04",31,3
"339",0,1,676,4,13,"sub04",32,3
"349",1,1,270,8,8,"sub04",33,3
"359",0,1,213,7,13,"sub04",34,3
"369",0,1,401,10,20,"sub04",35,3
"379",0,1,300,5,14,"sub04",36,3
"389",1,0,343,8,11,"sub04",37,3
"399",1,1,418,13,13,"sub04",38,3
"409",1,0,528,2,17,"sub04",39,3
"4113",0,1,244,6,4,"sub04",40,3
"4211",0,1,315,14,3,"sub04",41,3
"439",0,1,393,14,17,"sub04",42,3
"449",0,1,234,7,14,"sub04",43,3
"459",0,1,297,2,7,"sub04",44,3
"469",1,0,275,20,21,"sub04",45,3
"479",0,1,250,18,5,"sub04",46,3
"489",0,1,313,17,10,"sub04",47,3
"499",0,1,310,12,2,"sub04",48,3
"509",0,1,345,6,10,"sub04",49,3
"5113",1,0,267,11,14,"sub04",50,3
"5211",1,0,267,1,17,"sub04",51,3
"539",0,1,239,3,13,"sub04",52,3
"549",0,1,282,3,16,"sub04",53,3
"559",0,1,258,15,3,"sub04",54,3
"569",1,0,268,20,19,"sub04",55,3
"579",0,1,250,5,2,"sub04",56,3
"589",0,1,242,13,5,"sub04",57,3
"599",0,1,256,13,6,"sub04",58,3
"609",0,1,224,10,1,"sub04",59,3
"6113",0,1,313,16,2,"sub04",60,3
"6211",0,1,568,20,5,"sub04",61,3
"639",1,1,292,7,7,"sub04",62,3
"649",0,1,399,9,5,"sub04",63,3
"659",0,1,263,20,15,"sub04",64,3
"669",0,1,275,21,19,"sub04",65,3
"679",0,1,277,10,4,"sub04",66,3
"689",0,1,429,7,1,"sub04",67,3
"699",0,1,272,3,4,"sub04",68,3
"709",0,1,246,4,21,"sub04",69,3
"7113",0,1,384,1,12,"sub04",70,3
"7210",1,0,274,11,10,"sub04",71,3
"739",0,1,253,6,19,"sub04",72,3
"749",0,1,259,7,5,"sub04",73,3
"759",0,1,292,5,19,"sub04",74,3
"769",0,1,367,1,21,"sub04",75,3
"779",0,1,266,15,7,"sub04",76,3
"789",1,1,257,20,20,"sub04",77,3
"240",0,1,344,1,18,"sub03",1,3
"340",0,0,181,11,11,"sub03",2,3
"440",0,0,1,12,12,"sub03",3,3
"540",0,1,58,11,18,"sub03",4,3
"640",0,1,18,2,8,"sub03",5,3
"740",0,1,353,7,5,"sub03",6,3
"810",0,1,45,10,21,"sub03",7,3
"910",0,1,364,20,19,"sub03",8,3
"1010",0,0,128,4,4,"sub03",9,3
"1110",0,1,126,11,14,"sub03",10,3
"1210",0,1,147,8,6,"sub03",11,3
"1310",0,1,65,15,17,"sub03",12,3
"1410",0,1,174,11,6,"sub03",13,3
"1510",0,1,25,9,17,"sub03",14,3
"1610",0,1,30,13,2,"sub03",15,3
"1710",0,1,72,16,7,"sub03",16,3
"1810",0,1,42,14,4,"sub03",17,3
"1910",0,1,92,11,21,"sub03",18,3
"2010",0,1,10,7,15,"sub03",19,3
"2114",0,1,107,20,17,"sub03",20,3
"2212",0,1,324,17,3,"sub03",21,3
"2310",0,1,153,15,4,"sub03",22,3
"2410",1,0,175,9,11,"sub03",23,3
"2510",1,1,69,18,18,"sub03",24,3
"2610",0,1,115,9,13,"sub03",25,3
"2710",0,1,266,6,19,"sub03",26,3
"2810",0,1,45,15,3,"sub03",27,3
"2910",0,1,80,13,16,"sub03",28,3
"3010",0,1,78,21,13,"sub03",29,3
"3114",0,0,94,16,16,"sub03",30,3
"3212",0,1,74,6,12,"sub03",31,3
"3310",0,1,216,4,8,"sub03",32,3
"3410",0,1,72,7,11,"sub03",33,3
"3510",0,1,81,11,13,"sub03",34,3
"3610",0,1,119,10,19,"sub03",35,3
"3710",0,1,205,5,9,"sub03",36,3
"3810",0,1,58,21,9,"sub03",37,3
"3910",0,1,116,11,12,"sub03",38,3
"4010",0,1,13,10,11,"sub03",39,3
"4114",1,0,278,9,19,"sub03",40,3
"4212",0,1,57,17,8,"sub03",41,3
"4310",0,1,274,7,18,"sub03",42,3
"4410",0,1,68,20,21,"sub03",43,3
"4510",0,1,121,6,18,"sub03",44,3
"4610",0,0,259,20,20,"sub03",45,3
"4710",0,1,153,2,11,"sub03",46,3
"4810",0,1,87,18,19,"sub03",47,3
"4910",0,1,147,14,12,"sub03",48,3
"5010",0,1,337,20,3,"sub03",49,3
"5114",0,1,74,12,10,"sub03",50,3
"5212",0,1,63,6,14,"sub03",51,3
"5310",0,1,215,19,1,"sub03",52,3
"5410",0,1,68,13,8,"sub03",53,3
"5510",0,1,265,9,20,"sub03",54,3
"5610",0,1,143,20,14,"sub03",55,3
"5710",0,1,210,16,3,"sub03",56,3
"5810",0,1,251,21,1,"sub03",57,3
"5910",0,1,142,5,4,"sub03",58,3
"6010",0,0,72,5,5,"sub03",59,3
"6114",0,1,190,5,8,"sub03",60,3
"6212",1,1,74,2,2,"sub03",61,3
"6310",0,1,88,11,8,"sub03",62,3
"6410",0,1,101,7,12,"sub03",63,3
"6510",1,1,111,9,9,"sub03",64,3
"6610",0,1,21,6,13,"sub03",65,3
"6710",0,1,0,7,3,"sub03",66,3
"6810",0,1,171,5,19,"sub03",67,3
"6910",0,1,37,18,12,"sub03",68,3
"7010",0,1,179,7,6,"sub03",69,3
"7114",0,1,12,19,13,"sub03",70,3
"7211",0,1,70,20,16,"sub03",71,3
"7310",0,1,85,8,9,"sub03",72,3
"7410",0,1,170,11,15,"sub03",73,3
"7510",0,1,0,21,18,"sub03",74,3
"7610",0,1,258,3,2,"sub03",75,3
"7710",0,1,21,19,4,"sub03",76,3
"7810",0,1,33,8,18,"sub03",77,3
"250",0,1,108,5,1,"sub02",1,3
"350",0,1,353,12,16,"sub02",2,3
"450",0,0,2118,19,19,"sub02",3,3
"550",0,1,569,8,15,"sub02",4,3
"650",0,1,497,2,16,"sub02",5,3
"750",0,1,319,3,10,"sub02",6,3
"811",0,1,405,15,7,"sub02",7,3
"911",0,1,141,19,3,"sub02",8,3
"1011",0,1,375,20,14,"sub02",9,3
"1111",0,1,1993,12,8,"sub02",10,3
"1211",0,0,1318,6,6,"sub02",11,3
"1311",0,1,202,9,5,"sub02",12,3
"1411",0,1,526,6,20,"sub02",13,3
"1511",0,1,985,8,17,"sub02",14,3
"1611",0,1,879,6,13,"sub02",15,3
"1711",0,1,538,18,3,"sub02",16,3
"1811",0,1,2316,12,9,"sub02",17,3
"1911",0,1,2222,15,9,"sub02",18,3
"2011",0,1,2498,16,11,"sub02",19,3
"2115",-1,-1,0,21,21,"sub02",20,3
"2213",0,1,941,6,21,"sub02",21,3
"2311",0,1,1536,6,4,"sub02",22,3
"2411",0,0,731,15,15,"sub02",23,3
"2511",1,0,377,11,18,"sub02",24,3
"2611",0,1,674,6,5,"sub02",25,3
"2711",0,1,802,4,20,"sub02",26,3
"2811",0,1,1480,3,21,"sub02",27,3
