"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"361",0,0,314,3,3,2,"132b1f4",35,1
"371",1,0,304,6,1,2,"132b1f4",36,1
"381",1,0,350,2,1,2,"132b1f4",37,1
"391",1,0,499,4,1,2,"132b1f4",38,1
"401",0,0,282,6,6,2,"132b1f4",39,1
"411",1,1,317,2,2,2,"132b1f4",40,1
"421",1,0,333,5,1,2,"132b1f4",41,1
"431",1,1,468,4,4,2,"132b1f4",42,1
"441",1,0,411,1,3,2,"132b1f4",43,1
"451",1,1,677,1,1,2,"132b1f4",44,1
"461",0,1,999,1,5,2,"132b1f4",45,1
"471",1,1,414,1,1,2,"132b1f4",46,1
"481",0,1,343,4,1,2,"132b1f4",47,1
"491",1,1,370,2,2,2,"132b1f4",48,1
"501",1,1,913,4,4,2,"132b1f4",49,1
"511",0,0,345,6,6,2,"132b1f4",50,1
"521",0,1,282,1,6,2,"132b1f4",51,1
"531",1,0,626,1,3,2,"132b1f4",52,1
"541",1,1,325,5,5,2,"132b1f4",53,1
"551",1,1,336,3,3,2,"132b1f4",54,1
"561",1,0,536,2,1,2,"132b1f4",55,1
"571",1,1,309,1,1,2,"132b1f4",56,1
"581",0,0,429,2,2,2,"132b1f4",57,1
"591",1,0,375,1,5,2,"132b1f4",58,1
"601",0,0,322,4,4,2,"132b1f4",59,1
"611",1,1,1191,5,5,2,"132b1f4",60,1
"621",1,1,333,6,6,2,"132b1f4",61,1
"631",1,0,342,1,3,2,"132b1f4",62,1
"641",1,0,492,4,1,2,"132b1f4",63,1
"651",1,0,373,2,1,2,"132b1f4",64,1
"661",1,1,302,3,3,2,"132b1f4",65,1
"671",1,0,301,1,6,2,"132b1f4",66,1
"681",1,0,271,5,1,2,"132b1f4",67,1
"691",1,1,614,3,3,2,"132b1f4",68,1
"701",1,1,314,4,4,2,"132b1f4",69,1
"711",0,1,345,1,6,2,"132b1f4",70,1
"721",1,1,351,6,6,2,"132b1f4",71,1
"731",1,1,316,2,2,2,"132b1f4",72,1
"741",0,1,328,1,4,2,"132b1f4",73,1
"751",1,0,386,2,1,2,"132b1f4",74,1
"761",1,1,308,1,1,2,"132b1f4",75,1
"771",1,1,273,5,5,2,"132b1f4",76,1
"781",0,1,305,3,1,2,"132b1f4",77,1
"212",1,0,823,2,1,2,"1d3a28a",1,1
"312",0,1,449,1,5,2,"1d3a28a",2,1
"412",0,0,394,3,3,2,"1d3a28a",3,1
"512",1,0,313,1,4,2,"1d3a28a",4,1
"612",1,1,333,6,6,2,"1d3a28a",5,1
"710",1,1,347,2,2,2,"1d3a28a",6,1
"82",1,1,263,4,4,2,"1d3a28a",7,1
"92",1,1,334,5,5,2,"1d3a28a",8,1
"102",1,0,541,6,1,2,"1d3a28a",9,1
"112",1,1,329,1,1,2,"1d3a28a",10,1
"122",1,0,323,3,1,2,"1d3a28a",11,1
"132",1,1,365,2,2,2,"1d3a28a",12,1
"142",0,0,422,5,5,2,"1d3a28a",13,1
"152",0,1,493,3,1,2,"1d3a28a",14,1
"162",1,1,354,6,6,2,"1d3a28a",15,1
"172",0,1,126,4,1,2,"1d3a28a",16,1
"182",1,1,392,1,1,2,"1d3a28a",17,1
"192",0,1,278,1,5,2,"1d3a28a",18,1
"202",1,1,411,3,3,2,"1d3a28a",19,1
"213",1,0,380,2,1,2,"1d3a28a",20,1
"222",0,1,461,1,6,2,"1d3a28a",21,1
"232",1,1,493,4,4,2,"1d3a28a",22,1
"242",0,1,392,1,5,2,"1d3a28a",23,1
"252",1,1,353,4,4,2,"1d3a28a",24,1
"262",1,0,740,1,3,2,"1d3a28a",25,1
"272",1,1,143,5,5,2,"1d3a28a",26,1
"282",1,1,296,3,3,2,"1d3a28a",27,1
"292",1,0,337,1,2,2,"1d3a28a",28,1
"302",1,1,288,6,6,2,"1d3a28a",29,1
"313",1,1,259,1,1,2,"1d3a28a",30,1
"322",1,1,270,2,2,2,"1d3a28a",31,1
"332",0,1,382,4,1,2,"1d3a28a",32,1
"342",0,1,817,1,6,2,"1d3a28a",33,1
"352",0,1,269,4,1,2,"1d3a28a",34,1
"362",1,1,64,5,5,2,"1d3a28a",35,1
"372",1,1,454,4,4,2,"1d3a28a",36,1
"382",1,1,342,1,1,2,"1d3a28a",37,1
"392",1,0,390,2,1,2,"1d3a28a",38,1
"402",0,1,69,5,1,2,"1d3a28a",39,1
"413",1,1,330,3,3,2,"1d3a28a",40,1
"422",0,1,272,3,1,2,"1d3a28a",41,1
"432",1,1,213,2,2,2,"1d3a28a",42,1
"442",0,1,664,1,6,2,"1d3a28a",43,1
"452",1,1,626,6,6,2,"1d3a28a",44,1
"462",0,1,805,1,4,2,"1d3a28a",45,1
"472",0,1,467,3,1,2,"1d3a28a",46,1
"482",1,1,338,4,4,2,"1d3a28a",47,1
"492",1,1,318,6,6,2,"1d3a28a",48,1
"502",1,1,388,3,3,2,"1d3a28a",49,1
"513",0,1,263,5,1,2,"1d3a28a",50,1
"522",1,1,325,5,5,2,"1d3a28a",51,1
"532",0,1,167,6,1,2,"1d3a28a",52,1
"542",1,1,467,1,1,2,"1d3a28a",53,1
"552",1,0,495,2,1,2,"1d3a28a",54,1
"562",1,1,164,2,2,2,"1d3a28a",55,1
"572",0,1,106,1,2,2,"1d3a28a",56,1
"582",1,1,237,6,6,2,"1d3a28a",57,1
"592",1,1,283,5,5,2,"1d3a28a",58,1
"602",0,1,532,1,4,2,"1d3a28a",59,1
"613",0,0,233,2,2,2,"1d3a28a",60,1
"622",0,0,435,3,3,2,"1d3a28a",61,1
"632",0,1,243,5,1,2,"1d3a28a",62,1
"642",0,1,255,6,1,2,"1d3a28a",63,1
"652",1,1,518,1,1,2,"1d3a28a",64,1
"662",1,1,872,4,4,2,"1d3a28a",65,1
"672",0,1,348,1,3,2,"1d3a28a",66,1
"682",0,1,118,5,1,2,"1d3a28a",67,1
"692",0,1,888,3,1,2,"1d3a28a",68,1
"702",1,1,450,6,6,2,"1d3a28a",69,1
"712",1,1,343,1,1,2,"1d3a28a",70,1
"722",0,1,614,1,4,2,"1d3a28a",71,1
"732",1,1,290,5,5,2,"1d3a28a",72,1
"742",0,1,256,1,6,2,"1d3a28a",73,1
"752",1,1,167,3,3,2,"1d3a28a",74,1
"762",1,1,118,4,4,2,"1d3a28a",75,1
"772",1,1,238,2,2,2,"1d3a28a",76,1
"782",0,1,591,2,1,2,"1d3a28a",77,1
