"","X","post_surve","prolificID","SubID","confirm_code","basic_id","d_p","feature"
"1",1,"lowerrightportion","573128f3070de6000f431658","f431658","0Of1mpmM.txt","f431658",1.66349967065796,2
"2",2,"Therewasachunknearthebottomrightoftheobjectthatwouldbebigger/smallerorwider/thinner.Ididn'tnoticeituntilround2.","5baa75020d24ad000132b1f4","132b1f4","1hlwSS1Y.txt","132b1f4",3.03601911726277,2
"3",3,"Thedifferencewasalwaysthatshapeontheobjectthatwasonthebottomrightside.","590eb4006d77630001d3a28a","1d3a28a","1jOJnLP7.txt","1d3a28a",2.65662314083871,2
"4",4,"Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","2bgmqiUX.txt","1273cfc",1.83697007222677,2
"5",5,"Theblockintheupperleftsectionoftheobjectwasdifferentinsize.","5b04e8e9a496b300013d9a1d","13d9a1d","376TsxC8.txt","13d9a1d",2.41195095082651,3
"6",6,"thedarkergraysectiononthelowerright","5bb09ecf6322c50001584d36","1584d36","52o6VARC.txt","1584d36",0.947543581596565,2
"7",7,"Thetinyedgeofthedarkpieceontheupperleft.","5bbf2cd1e7e9a70001cc4275","1cc4275","5ycMfpek.txt","1cc4275",4.44953874685146,3
"8",8,"thetwofrontrocks","5aee768eda09e40001539ca4","1539ca4","6KYakbi9.txt","1539ca4",1.28522142289282,1
"9",9,"ThedarkergreyshadowyendsneartheedgesoftherockformationsontheobjectandIthinktheshapeofthelargerrockformationontheupperpartoftheobject.","5753701af52b330007c3b1e8","7c3b1e8","6zuVpHPT.txt","7c3b1e8",4.43811206041156,3
"10",10,"Thetoppart.Smallblackthing.","5bb22fe6321bd10001566a9e","1566a9e","84m08ID0.txt","1566a9e",0.720033850822432,3
"11",11,"Thetoppartwasdifferent,sometimesithadablockdotattheendorsomethinglikescratch.","5b91cbd3e6bf1000014ee05a","14ee05a","a7nbDSzc.txt","14ee05a",3.55997191593085,3
"12",12,"Triangularpieceinthemiddlekeptchangingsizes","5a94ca1a873cda0001dc7147","1dc7147","aSIbHRln.txt","1dc7147",3.36745028846754,1
"13",13,"Thesmallershapeatthetophadacornerthatwouldeitherbedarkornot.","55b3ea0afdf99b3fd516e367","516e367","dKzn27Mi.txt","516e367",4.44953874685146,3
"14",14,"Thebottomrightcornershapewasdifferent","5b4b59fe3905740001273cfc","1273cfc","dYdbsJzd.txt","1273cfc",1.83697007222677,2
"15",15,"Thethingthatstuckoutinthebottomleftcornerhadatriangleinitthatchangedshapebetweenpairs","55650260fdf99b76e760cd77","760cd77","EIA50WMu.txt","760cd77",3.57060768972909,1
"16",16,"Thedifferencewasalwaysthatshapeontheobjectthatwasonthebottomrightside.","590eb4006d77630001d3a28a","1d3a28a","EzcjbZWZ.txt","1d3a28a",2.65662314083871,2
"17",17,"shadow","5b33ce040670a50001a3a265","1a3a265","FadgFkul.txt","1a3a265",4.44027545202488,1
"18",18,"I'mconvincedtherewerenodifferences","5b10776be9270900013c1598","13c1598","G7QoH44w.txt","13c1598",-Inf,3
"19",19,"Theparttothefarrightwastheonethatchangeswithrespecttosize,shadingandshadowangles.","5b9ee842d2887a00014fe1df","14fe1df","GCJ2rmBl.txt","14fe1df",3.18479935667398,2
"20",20,"Thebottomparthadadifferentsizebump","59014a56baa70f0001ea4c3b","1ea4c3b","gwqjmIdL.txt","1ea4c3b",1.25903754731524,1
"21",21,"Thecolorwaseitherlighterordarker","5929ec666c835800011a31fc","11a31fc","h2hR7Q5R.txt","11a31fc",-0.127746851239251,3
"22",22,"Thepiecestickingoutofthetophadslightlydifferentsurfaces","53da581cfdf99b2d904dc77b","04dc77b","HEyBc8B8.txt","04dc77b",4.44953874685146,3
"23",23,"Theshadowsononeofthepieceswereeitherthin,medium,orthick.","56429e51942576001166ecb9","166ecb9","hiNE5m2y.txt","166ecb9",4.44953874685146,2
